Mealtime,Meal,Steph,Phil,Alexi,Helena,Matai,Lucy,Willie ,Jake,Zach,Sam,Henry,Larkin,Devin,David,Griffin,hayden,Abe,Patrick,Martin,Stefan,Brandt,Zach S,Patrick,Julian,Max,Brendan,Sophie,Aaron,Alex,Tony,Sam,Nate,Conrad,Natalia,Pearl,Mina,Tim,Sydney,Kayla,Maeve,Emma,Big Gator,Olivia,Amanda,Izzy,Makaela,Mattea,Emma ,Maya,Lindsay,Jeremy,Charlotte,Chris,Eli,Jacob G,Anon1,Anon2,Anon3
Dinner,"Chicken Tikka, Beef rendang",5,5,8,10,10,8,9,10,7,10,6,9.5,8,10,7,1,10,1,8,6,3,9,9,10,9,,8,7,6,10,7,8,10,5,6,10,6,7,10,9,6,8,9,5,9,7,7,10,8,8,7,9,6,8,,,,
Dinner,Lasagna,7,7,9,8,9,7,5,4.5,6,6,4,4,4,8,7,6,3,6,7,10,9,,10,6,7,,7,3,6,10,7,7.5,7.5,8,8,6,5,6,1,5,7,9,,5,6,8,9,6,4,8,7,9,6,5,9,,,
Dinner,"Sirloin, Salmon, pufftables",5,8,3,9,5,7,7,7,4,8,6,6.2,4,6,4,8,10,7,2,8,7,8,5,6,4,,8,8.5,7,4,9,8.5,7.5,4,3,6,7,7,8,6,4,10,7,8,7,6,6,8,7,10,10,9,5,,7,,,
Dinner,Burgers,9,9,4,7,8,8,9,6.5,5,5,6,6.5,6,6,8,7,8,8,2,8,5,6,9,4,4,7,6,4,6,8,6,7,8,7,7,8,5,5,5,6,7,4,9,7,5,6,7,6,4,9,6,8,5,7,,,,
Dinner,"Chicken, kielbasa, pierogies",10,9,10,9,8,1,8,3,5,6,8,6.8,5,10,9,5,2,8,7,7,6,,6,8,5,,3,3,7,9,,5,5.5,4,5,4,10,5,3,8,8,8,,5,7,5,10,4,5,8,6,6,6,7,6,,,
Dinner,"Short Ribs, Fried Rice, Dumplings",5,8,7,4,9,6,6,5,7,4,4,6.8,8,4,6,9,10,4,4,6,6,8,8,5,6,,5,2.5,6,3.5,,8,5,3,5,10,7,,4,5,5,3,7,7,10,5,8,5,10,8,5,7,5,5,8,,,
Dinner,Wings,1,6,2,8,7,5,9,8,7,3,8,8.4,4,6,4,8,1,7,1,6,10,,7,6,2,6,9,7.5,9,9.5,8,6.5,7,5,6,7,4,4,5,7,7,9,,2,4,7,5,9,5,,1,5,9,,,,,
Dinner,Mac and Cheese Madness,8,5,2,6,8,7,7,7,9,2,5,5.5,4,6,3,4,1,6,7,10,10,,10,7,4,8,3,4,8,6,9,6.5,6.5,3,7,10,5,5,7,5,7,4,5,5,9,6,5,7,1,6,2,3,10,8,8,,,
Dinner,Baked Sausage Raddichio Pasta,,6,1,9,8,1,6,9,4,8,7,2.5,2,2,7,7,1,2,8,10,,,9,2,7,,5,3,6,,,7.5,2,6,3,9,9,,,,6,6,,8,4,5,6,7,6,,7,2,9,6,8,,,
Dinner,Quesadillas,8,9,9,7,3,7,7,6,4,7,7,7.2,3,5,4,10,2,10,4,8,10,,3,6,5,,7,5,5,7,2,6,8,2,7,4,4,4,8,4,6,5,9,2,5,6,8,5,1,5,4,3,9,,7,,,
Dinner,Spaghetti and Meatballs,6,5,6,9,8,4,6,6,5,5,3,1.5,5,4,5,5,1,5,1,7,6,,8,3,5,,7,5,5,8.5,8,3,8.5,6,7,8,7,1,4,,6,7,6,5,8,6,8,7,5,,6,6,5,,,,,
Dinner,Sesame Ginger glazed chicken thighs,9,4,8,9,4,,8,9,4,5,9,7.8,2,2,7,7,9,5,,8,,8,5,5,5,,2,2,5,,,9,9,2,3,3,10,,2,,3,,10,4,3,4,3,2,,,9,6,5,4,,,,
Dinner,General Tsos,4,4,5,3,7,5,3,5,9,6,7,5.6,7,3,5,6,10,6,1,6,7,,10,8,6,6,6,5,7,4,7,8,2,2,7,3,7,,6,,4,8,10,3,1,2,4,5,7,2,3,4,6,4,8,,,
Dinner,"Thai Grilled Beef, Chicken and Scallion Curry, Coconut Rice",3,6,1,3,9,5,6,8.5,7,5,3,6.2,8,4,5,4,10,4,3,5,3,5,4,4,4,,2,2,6,5.5,,9,6,6,3,4,6,4,5,,3,7,8,6,4,6,7,3,6,,4,7,8,9,5,,,
Dinner,"Flank Steak, paella",,8,2,6,6,5,6,5,4,3,6,8.2,10,2,3,7,1,2,5,5,,7,2,4,5,,4,2,5,2,6,8.5,6,6,4,6,2,,6,,3,4,7,5,1,6,3,7,9,5,3,7,4,6,,,,
Dinner,Turkey Pot Pie,3,4,1,3,6,1,6,4,3,4,1,4,6,4,3,5,1,6.5,6,1,7,,8,9,8,3,3,4,8,6,6,5,9.5,7,7,5,6,5,3,3,5,10,,4,1,6,6,2,8,7,3,2,5,,5,,,
Dinner,"Breakfast Tostada, Chicken and Waffles",2,7,1,2,2,1,6,1,4,4,6,7.2,4,5,9,6,5,10,9,5,10,,1,3,1,6,8,2,7,,3,4,6,4,5,4,7,3,1,3,5,5,,7,5,8,9,3,4,6,2,2,7,3,6,,,
Dinner,Chicken Enchilada Squares,,3,1,7,8,5,4,4,4,2,7,3.3,3,4,2,6,5,5,6,4,8,,6,4,4,,5,4,6,3,,5.5,3.5,6,7,5,1,5,1,6,2,2,7,2,8,4,4,4,2,,5,4,7,,6,,,
Dinner,"Pork Tenderloin, Turkey, giblet Gravy",1,3,1,1,6,1,2,3,2,4,6,5.2,3,6,4,4,4,2,1,6,10,,1,7,8,5,4,2,10,7,,5,6,2,3,1,5,,2,2,9,6,,5,6,6,6,1,7,,2,5,7,,,,,
Dinner,Creole Fried Chicken,,6,5,5,4,3,5,4,4,6,7,3.3,3,7,3,2,3,3,,2,9,6,3,2,3,,3,5,7,7,,4.5,5.5,2,4,3,7,,5,,2,5,,4,,6,4,1,6,,3,2,5,,,,,
Dinner,"Bourbon Chicken, Shrimp and Okra Ettouffee",2,3,1,4,4,8,5,2,6,5,6,5.6,3,1,3,6,3,6,3,3,4,4,3,5,5,,1,2,5,6.5,,7,6,3,3,4,1,1,2,,2,2,,2,6,5,6,1,9,3,2,2,4,,,,,
Dinner,Chicken Vesuvio,3,2,1,,5,1,3,3,4,5,3,5,5,6,5,5,6,5,,4,5,,2,2,4,,2,2,6,,,3,,3,3,,,,2,,6,,,4,4,5,4,2,2,,,2,,,,,,
Dinner,Short Ribs Ragout,,7,1,1,4,3,2,3,4,4,2,5,4,3,5,3,2,1,,7,7,7,4,7,2,,5,3.5,5,,,3,,2,3,3,5,,1,,3,4,,6,1,3,3,1,7,,7,3,,,,,,
Dinner,Slow Fire Brisket,1,3,1,1,7,2,1,1,2,3,1,1,6,6,3,2,6,5,1,6,,6,7,7,2,,4,1,8,,,6,4,2,3,5,2,,2,,3,7,8,5,1,6,3,2,3,,6,2,4,,,,,
Dinner,Tequila Lime Chicken,,4,1,3,4,1,2,4,5,4,5,6.8,5,10,3,3,5,2,2,5,5,4,5,3,5,,2,2,5,4,,7,5.5,4,3,3,2,1,4,,2,4,7,3,4,3,4,1,1,2,4,6,4,,,,,
Dinner,"Fried Catfish, Creole Chicken",1,4,2,5,4,4,5,7,1,5,5,6.2,3,6,4,3,4,3,,1,7,8,2,3,2,,1,7,7,5,,3.5,4,2,1,5,1,1,3,,2,9,1,6,3,3,1,1,5,7,4,1,2,,,,,
Dinner,Fajitas,5,3,1,7,6,3,5,6,4,3,6,3.3,3,5,2,4,8,2,2,4,3,2,2,4,5,,3,4,5,1,5,2,3,1,4,7,1,5,3,4,2,6,7,3,5,4,3,1,2,1,6,2,4,,8,,,
Dinner,Lamb and Potato Sugo,,3,1,,6,1,3,7.5,6,3,1,5,2,2,3,2,1,1,6,4,1,,3,10,3,,2,1,6,,,2,,6,2,,,,,,2,5,,2,1,6,5,1,2,,,1,5,,,,,
Dinner,"Pernil al Horno, Mango Chicken Curry",1,1,1,1,8,1,1,1,3,1,5,1,8,1,3,4,1,1,4,5,3,8,1,6,3,,1,3,8,5,3,6.5,5,1,3,1,2,1,1,6,2,7,4,6,1,2,3,6,4,4,5,1,3,1,,,,
Dinner,Roast Leg of Lamb with Cider and Apples,,2,1,1,2,1,1,3,3,1,4,4,4,5,4,3,1,1,1,5,1,5,2,2,5,,2,3,5,3,,4.5,8,4,4,3,,,1,,2,8,,4,1,5,8,1,2,6,5,2,2,,,,,
Lunch,Grilled Cheese / Green Monster,,,,,10,7,,3,7,9,7,5.5,8,,7,8,,10,4,10,7,,,,,,,,,,,7.5,,,5,,10,5,,,8,,,,9,,,,3,8,,,7,,,10,10,10
Lunch,Charlie's Chicken Sandwich / Val Burger Wrap,,,,,8,,,9.5,10,9,9,8.6,6,,4,9,,8,1,9,8,,,,,,,,,,,9,,,6,,6,5,,,10,,,,9,,,,10,9,,,7,,,7,4,9
Lunch,Buffalo Chicken Wrap and Tortellini,,,,,10,,,8,10,10,7,7.1,10,,6,7,,7,5,8,8,,,,,,,,,,,8,,,8,,4,6,,,7,,,,10,,,,7,10,,,9,,,3,6,10
Lunch,Chicken Caesar Wrap / Mac and Cheese,,,,,9,,,7,10,9,6,6,7,,4,5,,10,4,9,9,,,,,,,,,,,7,,,10,,6,6,,,6,,,,6,,,,4,10,,,9,,,7,10,9
Lunch,Buffalo Chicken Sandwich,,,,,10,,,4,8,7,7,8.5,8,,5,9,,8,,9,9,,,,,,,,,,,8,,,9,,5,4,,,5,,,,8,,,,8,2,,,6,,,7,5,9
Lunch,Ravioli Bar,,,,,7,5,,8,6,7,4,5,10,,9,7,,9,7,6,7,,,,,,,,,,,8.5,,,6,,5,1,,,6,,,,4,,,,3,7,,,7,,,8,9,10
Lunch,Poke Bowls,,,,,4,9,,7,7,10,9,7.2,5,,10,10,,4,7,9,8,,,,,,,,,,,7.5,,,1,,10,5,,,8,,,,6,,,,5,8,,,10,,,8,2,7
Lunch,"Lo Mein (Chicken, Vegetable)",,,,,8,6,,6,7,9,6,5,7,,6,10,,9,9,5,7,,,,,,,,,,,7,,,6,,8,,,,4,,,,3,,,,7,7,,,5,,,3,4,9
Lunch,Cuban Sandwich / Chicken Mole Torta,,,,,8,7,,7,2,10,8,6.6,3,,6,1,,10,4,6,10,,,,,,,,,,,6.5,,,2,,3,5,,,7,,,,5,,,,1,6,,,2,,,3,9,8
Lunch,Burger,,,,,8,5,,9,4,9,6,6.5,7,,,6,,8,1,7,7,,,,,,,,,,,6,,,7,,5,5,,,6,,,,5,,,,4,9,,,5,,,3,4,7
Lunch,Egg McCharlie,,,,,6,,,7,10,5,4,5.6,4,,7,2,,0,3,4,6,,,,,,,,,,,4.5,,,4,,6,3,,,8,,,,6,,,,4,9,,,4,,,6,1,5
Lunch,Chicken Parmesan,,,,,4,,,3,8,7,9,6.1,3,,4,5,,6,2,3,3,,,,,,,,,,,6.5,,,5,,7,,,,6,,,,4,,,,4,,,,5,,,6,3,3
Lunch,Chicken Broccoli Alfredo / Portabella Broccoli Penne,,,,,5,,,9,7,5,1,2.1,5,,6,6,,8,3,3,4,,,,,,,,,,,6,,,5,,7,3,,,2,,,,6,,,,3,9,,,8,,,6,1,7
Lunch,Chicken Shawarma / Falafel,,,,,3,,,5,5,8,1,3.5,4,,3,4,,6,8,6,0,,,,,,,,,,,1,,,3,,1,1,,,2,,,,6,,,,2,2,,,3,,,3,8,5
Lunch,Shrimp Po Boy,,,,,1,5,,6,1,8,9,6.9,6,,9,1,,0,0,9,3,,,,,,,,,,,6.5,,,1,,10,1,,,8,,,,6,,,,8,5,,,8,,,2,1,8
Lunch,New England Fish Fry,,,,,1,3,,3,1,6,2,9.1,2,,8,9,,1,0,8,2,,,,,,,,,,,2,,,1,,8,1,,,5,,,,2,,,,4,5,,,7,,,8,1,1
Lunch,"Chili Bar (Bison, Vegetarian)",,,,,6,8,,7,4,2,5,6.8,4,,4,6,,1,4,7,8,,,,,,,,,,,1,,,1,,1,1,,,9,,,,7,,,,8,4,,,6,,,2,6,3
Lunch,Cantina Taco Bar,,,,,7,5,,2,3,7,4,6.8,3,,8,4,,5,1,8,2,,,,,,,,,,,8,,,3,,1,8,,,7,,,,8,,,,5,2,,,4,,,2,3,3
Lunch,Beef Brisket / BBQ Chicken,,,,,7,,,6,6,3,6,4.5,5,,3,1,,5,,4,8,,,,,,,,,,,5.5,,,3,,3,,,,3,,,,3,,,,3,,,,3,,,5,1,1
Lunch,Country Fried Steak,,,,,2,,,4,1,3,5,2.3,4,,5,8,,3,1,4,5,,,,,,,,,,,3,,,4,,,,,,1,,,,1,,,,1,,,,3,,,7,1,
Lunch,Reuben Sandwich,,,,,4,,,6,1,3,7,3.4,4,,3,2,,10,3,6,10,,,,,,,,,,,3,,,3,,2,,,,2,,,,6,,,,1,1,,,4,,,2,1,7
Lunch,"""Dawgs and Spuds""",,,,,4,,,2,4,5,4,5,7,,7,0,,2,,3,6,,,,,,,,,,,1,,,4,,1,,,,3,,,,6,,,,4,1,,,1,,,3,1,1
Lunch,Roasted Chicken with Lemon and Thyme,,,,,5,,,3,2,3,2,4.5,3,,4,4,,2,,5,1,,,,,,,,,,,1,,,4,,1,,,,1,,,,2,,,,2,,,,2,,,3,2,2
Lunch,Citrus and Salmon Salad / Citrus and Tofu Salad,,,,,1,,,2,1,9,2,4.1,8,,3,7,,0,7,3,8,,,,,,,,,,,1,,,1,,6,8,,,8,,,,3,,,,7,9,,,2,,,1,4,2
Lunch,Maple Bourbon Baked Ham,,,,,2,,,1,1,2,3,1,4,,3,2,,1,,0,3,,,,,,,,,,,1,,,2,,,,,,1,,,,1,,,,1,,,,2,,,1,2,1
Lunch,Guinness Beef Stew / Moroccan Spiced Chickpease and Chard,,,,,3,,,1,1,1,1,1,5,,5,1,,1,,4,5,,,,,,,,,,,1,,,1,,1,1,,,1,,,,3,,,,7,6,,,6,,,1,1,1
Lunch,Vermont Corned Beef,,,,,2,,,3,1,2,1,1,6,,3,1,,8,,4,2,,,,,,,,,,,1,,,1,,1,,,,1,,,,1,,,,1,,,,1,,,1,1,1