Source: baseball-reference.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAA,AL,2005,761,643,118,95,0.325,0.409,0.27,1,3,3,162,0.312,0.401,,,,,,,,,,,,,
LAD,NL,2005,685,755,-70,71,0.326,0.395,0.253,0,,,162,0.327,0.429,,,,,,,,,,,,,
MIL,NL,2005,726,697,29,81,0.331,0.423,0.259,0,,,162,0.324,0.408,,,,,,,,,,,,,
MIN,AL,2005,688,662,26,83,0.323,0.391,0.259,0,,,162,0.307,0.408,,,,,,,,,,,,,
NYM,NL,2005,722,648,74,83,0.322,0.416,0.258,0,,,162,0.321,0.387,,,,,,,,,,,,,
NYY,AL,2005,886,789,97,95,0.355,0.45,0.276,1,3,4,162,0.332,0.422,,,,,,,,,,,,,
OAK,AL,2005,772,658,114,88,0.33,0.407,0.262,0,,,162,0.311,0.382,,,,,,,,,,,,,
PHI,NL,2005,807,726,81,88,0.348,0.423,0.27,0,,,162,0.32,0.426,,,,,,,,,,,,,
PIT,NL,2005,680,769,-89,67,0.322,0.4,0.259,0,,,162,0.344,0.424,,,,,,,,,,,,,
SDP,NL,2005,684,726,-42,82,0.333,0.391,0.257,1,6,4,162,0.322,0.408,,,,,,,,,,,,,
SEA,AL,2005,699,751,-52,69,0.317,0.391,0.256,0,,,162,0.332,0.422,,,,,,,,,,,,,
SFG,NL,2005,649,745,-96,75,0.319,0.396,0.261,0,,,162,0.336,0.412,,,,,,,,,,,,,
STL,NL,2005,805,634,171,100,0.339,0.423,0.27,1,1,3,162,0.318,0.398,,,,,,,,,,,,,
TBD,AL,2005,750,936,-186,67,0.329,0.425,0.274,0,,,162,0.355,0.455,,,,,,,,,,,,,
TEX,AL,2005,865,858,7,79,0.329,0.468,0.267,0,,,162,0.343,0.428,,,,,,,,,,,,,
TOR,AL,2005,775,705,70,80,0.331,0.407,0.265,0,,,162,0.324,0.418,,,,,,,,,,,,,
WSN,NL,2005,639,673,-34,81,0.322,0.386,0.252,0,,,162,0.333,0.396,,,,,,,,,,,,,
ANA,AL,2004,836,734,102,92,0.341,0.429,0.282,1,6,4,162,0.326,0.415,,,,,,,,,,,,,
ARI,NL,2004,615,899,-284,51,0.31,0.393,0.253,0,,,162,0.35,0.439,,,,,,,,,,,,,
ATL,NL,2004,803,668,135,96,0.343,0.434,0.27,1,4,4,162,0.329,0.4,,,,,,,,,,,,,
BAL,AL,2004,842,830,12,78,0.345,0.432,0.281,0,,,162,0.348,0.404,,,,,,,,,,,,,
BOS,AL,2004,949,768,181,98,0.36,0.472,0.282,1,3,1,162,0.318,0.408,,,,,,,,,,,,,
CHC,NL,2004,789,665,124,89,0.328,0.458,0.268,0,,,162,0.321,0.395,,,,,,,,,,,,,
CHW,AL,2004,865,831,34,83,0.333,0.457,0.268,0,,,162,0.338,0.453,,,,,,,,,,,,,
CIN,NL,2004,750,907,-157,76,0.331,0.418,0.25,0,,,162,0.348,0.481,,,,,,,,,,,,,
CLE,AL,2004,858,857,1,80,0.351,0.444,0.276,0,,,162,0.342,0.445,,,,,,,,,,,,,
COL,NL,2004,833,923,-90,68,0.345,0.455,0.275,0,,,162,0.372,0.471,,,,,,,,,,,,,
DET,AL,2004,827,844,-17,72,0.337,0.449,0.272,0,,,162,0.34,0.441,,,,,,,,,,,,,
FLA,NL,2004,718,700,18,83,0.329,0.406,0.264,0,,,162,0.324,0.412,,,,,,,,,,,,,
HOU,NL,2004,803,698,105,92,0.342,0.436,0.267,1,6,3,162,0.328,0.417,,,,,,,,,,,,,
KCR,AL,2004,720,905,-185,58,0.322,0.397,0.259,0,,,162,0.352,0.476,,,,,,,,,,,,,
LAD,NL,2004,761,684,77,93,0.332,0.423,0.262,1,5,4,162,0.323,0.408,,,,,,,,,,,,,
MIL,NL,2004,634,757,-123,67,0.321,0.387,0.248,0,,,161,0.32,0.417,,,,,,,,,,,,,
MIN,AL,2004,780,715,65,92,0.332,0.431,0.266,1,6,4,162,0.323,0.406,,,,,,,,,,,,,
MON,NL,2004,635,769,-134,67,0.313,0.392,0.249,0,,,162,0.342,0.431,,,,,,,,,,,,,
NYM,NL,2004,684,731,-47,71,0.317,0.409,0.249,0,,,162,0.335,0.405,,,,,,,,,,,,,
NYY,AL,2004,897,808,89,101,0.353,0.458,0.268,1,2,3,162,0.328,0.432,,,,,,,,,,,,,
OAK,AL,2004,793,742,51,91,0.343,0.433,0.27,0,,,162,0.332,0.409,,,,,,,,,,,,,
PHI,NL,2004,840,781,59,86,0.345,0.443,0.267,0,,,162,0.33,0.448,,,,,,,,,,,,,
PIT,NL,2004,680,744,-64,72,0.321,0.401,0.26,0,,,161,0.342,0.416,,,,,,,,,,,,,
SDP,NL,2004,768,705,63,87,0.342,0.414,0.273,0,,,162,0.318,0.431,,,,,,,,,,,,,
SEA,AL,2004,698,823,-125,63,0.331,0.396,0.27,0,,,162,0.338,0.441,,,,,,,,,,,,,
SFG,NL,2004,850,770,80,91,0.357,0.438,0.27,0,,,162,0.332,0.423,,,,,,,,,,,,,
STL,NL,2004,855,659,196,105,0.344,0.46,0.278,1,1,2,162,0.313,0.403,,,,,,,,,,,,,
TBD,AL,2004,714,842,-128,70,0.32,0.405,0.258,0,,,161,0.342,0.438,,,,,,,,,,,,,
TEX,AL,2004,860,794,66,89,0.329,0.457,0.266,0,,,162,0.344,0.432,,,,,,,,,,,,,
TOR,AL,2004,719,823,-104,67,0.328,0.403,0.26,0,,,161,0.348,0.434,,,,,,,,,,,,,
ANA,AL,2003,736,743,-7,77,0.33,0.413,0.268,0,,,162,0.327,0.421,,,,,,,,,,,,,
ARI,NL,2003,717,685,32,84,0.33,0.417,0.263,0,,,162,0.322,0.388,,,,,,,,,,,,,
ATL,NL,2003,907,740,167,101,0.349,0.475,0.284,1,1,4,162,0.327,0.401,,,,,,,,,,,,,
BAL,AL,2003,743,820,-77,71,0.323,0.405,0.268,0,,,163,0.346,0.446,,,,,,,,,,,,,
BOS,AL,2003,961,809,152,95,0.36,0.491,0.289,1,4,3,162,0.327,0.415,,,,,,,,,,,,,
CHC,NL,2003,724,683,41,88,0.323,0.416,0.259,1,7,3,162,0.324,0.372,,,,,,,,,,,,,
CHW,AL,2003,791,715,76,86,0.331,0.446,0.263,0,,,162,0.322,0.404,,,,,,,,,,,,,
CIN,NL,2003,694,886,-192,69,0.318,0.395,0.245,0,,,162,0.349,0.463,,,,,,,,,,,,,
CLE,AL,2003,699,778,-79,68,0.316,0.401,0.254,0,,,162,0.329,0.426,,,,,,,,,,,,,
COL,NL,2003,853,892,-39,74,0.344,0.445,0.267,0,,,162,0.359,0.47,,,,,,,,,,,,,
DET,AL,2003,591,928,-337,43,0.3,0.375,0.24,0,,,162,0.352,0.461,,,,,,,,,,,,,
FLA,NL,2003,751,692,59,91,0.333,0.421,0.266,1,5,1,162,0.325,0.396,,,,,,,,,,,,,
HOU,NL,2003,805,677,128,87,0.336,0.431,0.263,0,,,162,0.326,0.397,,,,,,,,,,,,,
KCR,AL,2003,836,867,-31,83,0.336,0.427,0.274,0,,,162,0.348,0.45,,,,,,,,,,,,,
LAD,NL,2003,574,556,18,85,0.303,0.368,0.243,0,,,162,0.306,0.354,,,,,,,,,,,,,
MIL,NL,2003,714,873,-159,68,0.329,0.419,0.256,0,,,162,0.348,0.462,,,,,,,,,,,,,
MIN,AL,2003,801,758,43,90,0.341,0.431,0.277,1,6,4,162,0.319,0.428,,,,,,,,,,,,,
MON,NL,2003,711,716,-5,83,0.326,0.401,0.258,0,,,162,0.327,0.423,,,,,,,,,,,,,
NYM,NL,2003,642,754,-112,66,0.314,0.374,0.247,0,,,161,0.345,0.438,,,,,,,,,,,,,
NYY,AL,2003,877,716,161,101,0.356,0.453,0.271,1,1,2,163,0.314,0.407,,,,,,,,,,,,,
OAK,AL,2003,768,643,125,96,0.327,0.417,0.254,1,3,4,162,0.314,0.376,,,,,,,,,,,,,
PHI,NL,2003,791,697,94,86,0.343,0.419,0.261,0,,,162,0.327,0.401,,,,,,,,,,,,,
PIT,NL,2003,753,801,-48,75,0.338,0.42,0.267,0,,,162,0.336,0.431,,,,,,,,,,,,,
SDP,NL,2003,678,831,-153,64,0.333,0.388,0.261,0,,,162,0.341,0.437,,,,,,,,,,,,,
SEA,AL,2003,795,637,158,93,0.344,0.41,0.271,0,,,162,0.311,0.388,,,,,,,,,,,,,
SFG,NL,2003,755,638,117,100,0.338,0.425,0.264,1,2,4,161,0.321,0.386,,,,,,,,,,,,,
STL,NL,2003,876,796,80,85,0.35,0.454,0.279,0,,,162,0.336,0.452,,,,,,,,,,,,,
TBD,AL,2003,715,852,-137,63,0.32,0.404,0.265,0,,,162,0.347,0.44,,,,,,,,,,,,,
TEX,AL,2003,826,969,-143,71,0.33,0.454,0.266,0,,,162,0.36,0.473,,,,,,,,,,,,,
TOR,AL,2003,894,826,68,86,0.349,0.455,0.279,0,,,162,0.337,0.441,,,,,,,,,,,,,
ANA,AL,2002,851,644,207,99,0.341,0.433,0.282,1,3,1,162,0.314,0.392,,,,,,,,,,,,,
ARI,NL,2002,819,674,145,98,0.346,0.423,0.267,1,4,4,162,0.305,0.397,,,,,,,,,,,,,
ATL,NL,2002,708,565,143,101,0.331,0.409,0.26,1,2,4,161,0.313,0.364,,,,,,,,,,,,,
BAL,AL,2002,667,773,-106,67,0.309,0.403,0.246,0,,,162,0.336,0.435,,,,,,,,,,,,,
BOS,AL,2002,859,665,194,93,0.345,0.444,0.277,0,,,162,0.308,0.385,,,,,,,,,,,,,
CHC,NL,2002,706,759,-53,67,0.321,0.413,0.246,0,,,162,0.331,0.407,,,,,,,,,,,,,
CHW,AL,2002,856,798,58,81,0.338,0.449,0.268,0,,,162,0.33,0.423,,,,,,,,,,,,,
CIN,NL,2002,709,774,-65,78,0.33,0.408,0.253,0,,,162,0.338,0.426,,,,,,,,,,,,,
CLE,AL,2002,739,837,-98,74,0.321,0.412,0.249,0,,,162,0.348,0.423,,,,,,,,,,,,,
COL,NL,2002,778,898,-120,73,0.337,0.423,0.274,0,,,162,0.349,0.466,,,,,,,,,,,,,
DET,AL,2002,575,864,-289,55,0.3,0.379,0.248,0,,,161,0.343,0.455,,,,,,,,,,,,,
FLA,NL,2002,699,763,-64,79,0.337,0.403,0.261,0,,,162,0.341,0.415,,,,,,,,,,,,,
HOU,NL,2002,749,695,54,84,0.338,0.417,0.262,0,,,162,0.33,0.41,,,,,,,,,,,,,
KCR,AL,2002,737,891,-154,62,0.323,0.398,0.256,0,,,162,0.349,0.464,,,,,,,,,,,,,
LAD,NL,2002,713,643,70,92,0.32,0.409,0.264,0,,,162,0.315,0.387,,,,,,,,,,,,,
MIL,NL,2002,627,821,-194,56,0.32,0.39,0.253,0,,,162,0.352,0.442,,,,,,,,,,,,,
MIN,AL,2002,768,712,56,94,0.332,0.437,0.272,1,7,3,161,0.318,0.421,,,,,,,,,,,,,
MON,NL,2002,735,718,17,83,0.334,0.418,0.261,0,,,162,0.329,0.421,,,,,,,,,,,,,
NYM,NL,2002,690,703,-13,75,0.322,0.395,0.256,0,,,161,0.327,0.403,,,,,,,,,,,,,
NYY,AL,2002,897,697,200,103,0.354,0.455,0.275,1,1,4,161,0.309,0.395,,,,,,,,,,,,,
OAK,AL,2002,800,654,146,103,0.339,0.432,0.261,1,1,4,162,0.315,0.384,,,,,,,,,,,,,
PHI,NL,2002,710,724,-14,80,0.339,0.422,0.259,0,,,161,0.328,0.401,,,,,,,,,,,,,
PIT,NL,2002,641,730,-89,72,0.319,0.381,0.244,0,,,161,0.342,0.423,,,,,,,,,,,,,
SDP,NL,2002,662,815,-153,66,0.321,0.381,0.253,0,,,162,0.346,0.442,,,,,,,,,,,,,
SEA,AL,2002,814,699,115,93,0.35,0.419,0.275,0,,,162,0.315,0.41,,,,,,,,,,,,,
SFG,NL,2002,783,616,167,95,0.344,0.442,0.267,1,6,2,162,0.319,0.372,,,,,,,,,,,,,
STL,NL,2002,787,648,139,97,0.338,0.425,0.268,1,5,3,162,0.323,0.386,,,,,,,,,,,,,
TBD,AL,2002,673,918,-245,55,0.314,0.39,0.253,0,,,161,0.357,0.463,,,,,,,,,,,,,
TEX,AL,2002,843,882,-39,72,0.338,0.455,0.269,0,,,162,0.355,0.451,,,,,,,,,,,,,
TOR,AL,2002,813,828,-15,78,0.327,0.43,0.261,0,,,162,0.344,0.431,,,,,,,,,,,,,
ANA,AL,2001,691,730,-39,75,0.327,0.405,0.261,0,,,162,0.331,0.412,,,,,,,,,,,,,
ARI,NL,2001,818,677,141,92,0.341,0.442,0.267,1,5,1,162,0.311,0.404,,,,,,,,,,,,,
ATL,NL,2001,729,643,86,88,0.324,0.412,0.26,1,7,3,162,0.314,0.384,,,,,,,,,,,,,
BAL,AL,2001,687,829,-142,63,0.319,0.38,0.248,0,,,162,0.337,0.439,,,,,,,,,,,,,
BOS,AL,2001,772,745,27,82,0.334,0.439,0.266,0,,,161,0.329,0.393,,,,,,,,,,,,,
CHC,NL,2001,777,701,76,88,0.336,0.43,0.261,0,,,162,0.321,0.398,,,,,,,,,,,,,
CHW,AL,2001,798,795,3,83,0.334,0.451,0.268,0,,,162,0.334,0.427,,,,,,,,,,,,,
CIN,NL,2001,735,850,-115,66,0.324,0.419,0.262,0,,,162,0.341,0.455,,,,,,,,,,,,,
CLE,AL,2001,897,821,76,91,0.35,0.458,0.278,1,6,4,162,0.341,0.417,,,,,,,,,,,,,
COL,NL,2001,923,906,17,73,0.354,0.483,0.292,0,,,162,0.35,0.48,,,,,,,,,,,,,
DET,AL,2001,724,876,-152,66,0.32,0.409,0.26,0,,,162,0.357,0.461,,,,,,,,,,,,,
FLA,NL,2001,742,744,-2,76,0.326,0.423,0.264,0,,,162,0.338,0.411,,,,,,,,,,,,,
HOU,NL,2001,847,769,78,93,0.347,0.451,0.271,1,4,4,162,0.325,0.437,,,,,,,,,,,,,
KCR,AL,2001,729,858,-129,65,0.318,0.409,0.266,0,,,162,0.348,0.45,,,,,,,,,,,,,
LAD,NL,2001,758,744,14,86,0.323,0.425,0.255,0,,,162,0.323,0.411,,,,,,,,,,,,,
MIL,NL,2001,740,806,-66,68,0.319,0.426,0.251,0,,,162,0.35,0.44,,,,,,,,,,,,,
MIN,AL,2001,771,766,5,85,0.337,0.433,0.272,0,,,162,0.325,0.437,,,,,,,,,,,,,
MON,NL,2001,670,812,-142,68,0.319,0.396,0.253,0,,,162,0.339,0.441,,,,,,,,,,,,,
NYM,NL,2001,642,713,-71,82,0.323,0.387,0.249,0,,,162,0.314,0.419,,,,,,,,,,,,,
NYY,AL,2001,804,713,91,95,0.334,0.435,0.267,1,3,2,161,0.318,0.398,,,,,,,,,,,,,
OAK,AL,2001,884,645,239,102,0.345,0.439,0.264,1,2,4,162,0.308,0.38,,,,,,,,,,,,,
PHI,NL,2001,746,719,27,86,0.329,0.414,0.26,0,,,162,0.329,0.424,,,,,,,,,,,,,
PIT,NL,2001,657,858,-201,62,0.313,0.393,0.247,0,,,162,0.344,0.433,,,,,,,,,,,,,
SDP,NL,2001,789,812,-23,79,0.336,0.399,0.252,0,,,162,0.33,0.45,,,,,,,,,,,,,
SEA,AL,2001,927,627,300,116,0.36,0.445,0.288,1,1,3,162,0.301,0.378,,,,,,,,,,,,,
SFG,NL,2001,799,748,51,90,0.342,0.46,0.266,0,,,162,0.329,0.404,,,,,,,,,,,,,
STL,NL,2001,814,684,130,93,0.339,0.441,0.27,1,4,4,162,0.328,0.428,,,,,,,,,,,,,
TBD,AL,2001,672,887,-215,62,0.32,0.388,0.258,0,,,162,0.345,0.452,,,,,,,,,,,,,
TEX,AL,2001,890,968,-78,73,0.344,0.471,0.275,0,,,162,0.362,0.494,,,,,,,,,,,,,
TOR,AL,2001,767,753,14,80,0.325,0.43,0.263,0,,,162,0.339,0.435,,,,,,,,,,,,,
ANA,AL,2000,864,869,-5,82,0.352,0.472,0.28,0,,,162,0.351,0.453,,,,,,,,,,,,,
ARI,NL,2000,792,754,38,85,0.333,0.429,0.265,0,,,162,0.326,0.424,,,,,,,,,,,,,
ATL,NL,2000,810,714,96,95,0.346,0.429,0.271,1,2,4,162,0.319,0.402,,,,,,,,,,,,,
BAL,AL,2000,794,913,-119,74,0.341,0.435,0.272,0,,,162,0.352,0.449,,,,,,,,,,,,,
BOS,AL,2000,792,745,47,85,0.341,0.423,0.267,0,,,162,0.322,0.411,,,,,,,,,,,,,
CHC,NL,2000,764,904,-140,65,0.335,0.411,0.256,0,,,162,0.348,0.452,,,,,,,,,,,,,
CHW,AL,2000,978,839,139,95,0.356,0.47,0.286,1,2,4,162,0.346,0.434,,,,,,,,,,,,,
CIN,NL,2000,825,765,60,85,0.343,0.447,0.274,0,,,163,0.341,0.438,,,,,,,,,,,,,
CLE,AL,2000,950,816,134,90,0.367,0.47,0.288,0,,,162,0.35,0.425,,,,,,,,,,,,,
COL,NL,2000,968,897,71,82,0.362,0.455,0.294,0,,,162,0.354,0.471,,,,,,,,,,,,,
DET,AL,2000,823,827,-4,79,0.343,0.438,0.275,0,,,162,0.34,0.443,,,,,,,,,,,,,
FLA,NL,2000,731,797,-66,79,0.331,0.409,0.262,0,,,161,0.348,0.429,,,,,,,,,,,,,
HOU,NL,2000,938,944,-6,72,0.361,0.477,0.278,0,,,162,0.353,0.476,,,,,,,,,,,,,
KCR,AL,2000,879,930,-51,77,0.348,0.425,0.288,0,,,162,0.362,0.474,,,,,,,,,,,,,
LAD,NL,2000,798,729,69,86,0.341,0.431,0.257,0,,,162,0.332,0.407,,,,,,,,,,,,,
MIL,NL,2000,740,826,-86,73,0.325,0.403,0.246,0,,,163,0.357,0.42,,,,,,,,,,,,,
MIN,AL,2000,748,880,-132,69,0.337,0.407,0.27,0,,,162,0.347,0.466,,,,,,,,,,,,,
MON,NL,2000,738,902,-164,67,0.326,0.432,0.266,0,,,162,0.353,0.449,,,,,,,,,,,,,
NYM,NL,2000,807,738,69,94,0.346,0.43,0.263,1,3,2,162,0.327,0.403,,,,,,,,,,,,,
NYY,AL,2000,871,814,57,87,0.354,0.45,0.277,1,5,1,161,0.336,0.422,,,,,,,,,,,,,
OAK,AL,2000,947,813,134,91,0.36,0.458,0.27,1,4,4,161,0.348,0.423,,,,,,,,,,,,,
PHI,NL,2000,708,830,-122,65,0.329,0.4,0.251,0,,,162,0.343,0.448,,,,,,,,,,,,,
PIT,NL,2000,793,888,-95,69,0.339,0.424,0.267,0,,,162,0.361,0.432,,,,,,,,,,,,,
SDP,NL,2000,752,815,-63,76,0.33,0.402,0.254,0,,,162,0.34,0.416,,,,,,,,,,,,,
SEA,AL,2000,907,780,127,91,0.361,0.442,0.269,1,4,3,162,0.339,0.416,,,,,,,,,,,,,
SFG,NL,2000,925,747,178,97,0.362,0.472,0.278,1,1,4,162,0.342,0.412,,,,,,,,,,,,,
STL,NL,2000,887,771,116,95,0.356,0.455,0.27,1,2,3,162,0.338,0.434,,,,,,,,,,,,,
TBD,AL,2000,733,842,-109,69,0.329,0.399,0.257,0,,,161,0.345,0.451,,,,,,,,,,,,,
TEX,AL,2000,848,974,-126,71,0.352,0.446,0.283,0,,,162,0.369,0.475,,,,,,,,,,,,,
TOR,AL,2000,861,908,-47,83,0.341,0.469,0.275,0,,,162,0.354,0.456,,,,,,,,,,,,,
ANA,AL,1999,711,826,-115,70,0.322,0.395,0.256,0,,,162,0.346,0.427,,,,,,,,,,,,,
ARI,NL,1999,908,676,232,100,0.347,0.459,0.277,1,2,4,162,0.32,0.402,,,,,,,,,,,,,
ATL,NL,1999,840,661,179,103,0.341,0.436,0.266,1,1,2,162,0.314,0.377,,,,,,,,,,,,,
BAL,AL,1999,851,815,36,78,0.353,0.447,0.279,0,,,162,0.35,0.441,,,,,,,,,,,,,
BOS,AL,1999,836,718,118,94,0.35,0.448,0.278,1,6,3,162,0.315,0.398,,,,,,,,,,,,,
CHC,NL,1999,747,920,-173,67,0.329,0.42,0.257,0,,,162,0.346,0.467,,,,,,,,,,,,,
CHW,AL,1999,777,870,-93,75,0.337,0.429,0.277,0,,,162,0.353,0.447,,,,,,,,,,,,,
CIN,NL,1999,865,711,154,96,0.341,0.451,0.272,0,,,163,0.324,0.411,,,,,,,,,,,,,
CLE,AL,1999,1009,860,149,97,0.373,0.467,0.289,1,4,4,162,0.347,0.439,,,,,,,,,,,,,
COL,NL,1999,906,1028,-122,72,0.348,0.472,0.288,0,,,162,0.384,0.499,,,,,,,,,,,,,
DET,AL,1999,747,882,-135,69,0.326,0.443,0.261,0,,,161,0.349,0.451,,,,,,,,,,,,,
FLA,NL,1999,691,852,-161,64,0.325,0.395,0.263,0,,,162,0.359,0.44,,,,,,,,,,,,,
HOU,NL,1999,823,675,148,97,0.355,0.42,0.267,1,4,4,162,0.326,0.397,,,,,,,,,,,,,
KCR,AL,1999,856,921,-65,64,0.348,0.433,0.282,0,,,161,0.365,0.454,,,,,,,,,,,,,
LAD,NL,1999,793,787,6,77,0.339,0.42,0.266,0,,,162,0.336,0.422,,,,,,,,,,,,,
MIL,NL,1999,815,886,-71,74,0.353,0.426,0.273,0,,,161,0.356,0.457,,,,,,,,,,,,,
MIN,AL,1999,686,845,-159,63,0.328,0.384,0.264,0,,,161,0.342,0.465,,,,,,,,,,,,,
MON,NL,1999,718,853,-135,68,0.323,0.427,0.265,0,,,162,0.342,0.418,,,,,,,,,,,,,
NYM,NL,1999,853,711,142,97,0.363,0.434,0.279,1,4,3,163,0.331,0.418,,,,,,,,,,,,,
NYY,AL,1999,900,731,169,98,0.366,0.453,0.282,1,3,1,162,0.329,0.4,,,,,,,,,,,,,
OAK,AL,1999,893,846,47,87,0.355,0.446,0.259,0,,,162,0.344,0.428,,,,,,,,,,,,,
PHI,NL,1999,841,846,-5,77,0.351,0.431,0.275,0,,,162,0.347,0.447,,,,,,,,,,,,,
PIT,NL,1999,775,782,-7,78,0.334,0.419,0.259,0,,,161,0.343,0.42,,,,,,,,,,,,,
SDP,NL,1999,710,781,-71,74,0.332,0.393,0.252,0,,,162,0.333,0.43,,,,,,,,,,,,,
SEA,AL,1999,859,905,-46,79,0.343,0.455,0.269,0,,,162,0.368,0.454,,,,,,,,,,,,,
SFG,NL,1999,872,831,41,86,0.356,0.434,0.271,0,,,162,0.345,0.423,,,,,,,,,,,,,
STL,NL,1999,809,838,-29,75,0.338,0.426,0.262,0,,,161,0.355,0.427,,,,,,,,,,,,,
TBD,AL,1999,772,913,-141,69,0.343,0.411,0.274,0,,,162,0.371,0.448,,,,,,,,,,,,,
TEX,AL,1999,945,859,86,95,0.361,0.479,0.293,1,5,4,162,0.346,0.459,,,,,,,,,,,,,
TOR,AL,1999,883,862,21,84,0.352,0.457,0.28,0,,,162,0.353,0.456,,,,,,,,,,,,,
ANA,AL,1998,787,783,4,85,0.335,0.415,0.272,0,,,162,,,,,,,,,,,,,,,
ARI,NL,1998,665,812,-147,65,0.314,0.393,0.246,0,,,162,,,,,,,,,,,,,,,
ATL,NL,1998,826,581,245,106,0.342,0.453,0.272,1,2,3,162,,,,,,,,,,,,,,,
BAL,AL,1998,817,785,32,79,0.347,0.447,0.273,0,,,162,,,,,,,,,,,,,,,
BOS,AL,1998,876,729,147,92,0.348,0.463,0.28,1,5,4,162,,,,,,,,,,,,,,,
CHC,NL,1998,831,792,39,90,0.337,0.433,0.264,1,6,4,163,,,,,,,,,,,,,,,
CHW,AL,1998,861,931,-70,80,0.339,0.444,0.271,0,,,163,,,,,,,,,,,,,,,
CIN,NL,1998,750,760,-10,77,0.337,0.402,0.262,0,,,162,,,,,,,,,,,,,,,
CLE,AL,1998,850,779,71,89,0.347,0.448,0.272,1,7,3,162,,,,,,,,,,,,,,,
COL,NL,1998,826,855,-29,77,0.347,0.461,0.291,0,,,162,,,,,,,,,,,,,,,
DET,AL,1998,722,863,-141,65,0.323,0.415,0.264,0,,,162,,,,,,,,,,,,,,,
FLA,NL,1998,667,923,-256,54,0.317,0.373,0.248,0,,,162,,,,,,,,,,,,,,,
HOU,NL,1998,874,620,254,102,0.356,0.436,0.28,1,3,4,162,,,,,,,,,,,,,,,
KCR,AL,1998,714,899,-185,72,0.324,0.399,0.263,0,,,161,,,,,,,,,,,,,,,
LAD,NL,1998,669,678,-9,83,0.31,0.387,0.252,0,,,162,,,,,,,,,,,,,,,
MIL,NL,1998,707,812,-105,74,0.33,0.396,0.26,0,,,162,,,,,,,,,,,,,,,
MIN,AL,1998,734,818,-84,70,0.328,0.389,0.266,0,,,162,,,,,,,,,,,,,,,
MON,NL,1998,644,783,-139,65,0.31,0.394,0.249,0,,,162,,,,,,,,,,,,,,,
NYM,NL,1998,706,645,61,88,0.33,0.394,0.259,0,,,162,,,,,,,,,,,,,,,
NYY,AL,1998,965,656,309,114,0.364,0.46,0.288,1,1,1,162,,,,,,,,,,,,,,,
OAK,AL,1998,804,866,-62,74,0.338,0.397,0.257,0,,,162,,,,,,,,,,,,,,,
PHI,NL,1998,713,808,-95,75,0.326,0.395,0.264,0,,,162,,,,,,,,,,,,,,,
PIT,NL,1998,650,718,-68,69,0.311,0.374,0.254,0,,,163,,,,,,,,,,,,,,,
SDP,NL,1998,749,635,114,98,0.33,0.409,0.253,1,4,2,162,,,,,,,,,,,,,,,
SEA,AL,1998,859,855,4,76,0.345,0.468,0.276,0,,,161,,,,,,,,,,,,,,,
SFG,NL,1998,845,739,106,89,0.353,0.421,0.274,0,,,163,,,,,,,,,,,,,,,
STL,NL,1998,810,782,28,83,0.341,0.441,0.258,0,,,163,,,,,,,,,,,,,,,
TBD,AL,1998,620,751,-131,63,0.321,0.385,0.261,0,,,162,,,,,,,,,,,,,,,
TEX,AL,1998,940,871,69,88,0.357,0.462,0.289,1,8,4,162,,,,,,,,,,,,,,,
TOR,AL,1998,816,768,48,88,0.34,0.448,0.266,0,,,163,,,,,,,,,,,,,,,
ANA,AL,1997,829,794,35,84,0.346,0.416,0.272,0,,,162,,,,,,,,,,,,,,,
ATL,NL,1997,791,581,210,101,0.343,0.426,0.27,1,1,3,162,,,,,,,,,,,,,,,
BAL,AL,1997,812,681,131,98,0.341,0.429,0.268,1,2,3,162,,,,,,,,,,,,,,,
