Source: baseball-reference.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SFG,NL,1986,698,618,80,83,0.322,0.375,0.253,0,,,162,,,,,,,,,,,,,,,
STL,NL,1986,601,611,-10,79,0.309,0.327,0.236,0,,,161,,,,,,,,,,,,,,,
TEX,AL,1986,771,743,28,87,0.331,0.428,0.267,0,,,162,,,,,,,,,,,,,,,
TOR,AL,1986,809,733,76,86,0.329,0.427,0.269,0,,,163,,,,,,,,,,,,,,,
ATL,NL,1985,632,781,-149,66,0.315,0.363,0.246,0,,,162,,,,,,,,,,,,,,,
BAL,AL,1985,818,764,54,83,0.336,0.43,0.263,0,,,161,,,,,,,,,,,,,,,
BOS,AL,1985,800,720,80,81,0.347,0.429,0.282,0,,,163,,,,,,,,,,,,,,,
CAL,AL,1985,732,703,29,90,0.333,0.386,0.251,0,,,162,,,,,,,,,,,,,,,
CHC,NL,1985,686,729,-43,77,0.324,0.39,0.254,0,,,162,,,,,,,,,,,,,,,
CHW,AL,1985,736,720,16,85,0.315,0.392,0.253,0,,,163,,,,,,,,,,,,,,,
CIN,NL,1985,677,666,11,89,0.327,0.376,0.255,0,,,162,,,,,,,,,,,,,,,
CLE,AL,1985,729,861,-132,60,0.324,0.385,0.265,0,,,162,,,,,,,,,,,,,,,
DET,AL,1985,729,688,41,84,0.318,0.424,0.253,0,,,161,,,,,,,,,,,,,,,
HOU,NL,1985,706,691,15,83,0.319,0.388,0.261,0,,,162,,,,,,,,,,,,,,,
KCR,AL,1985,687,639,48,91,0.313,0.401,0.252,1,4,1,162,,,,,,,,,,,,,,,
LAD,NL,1985,682,579,103,95,0.328,0.382,0.261,1,3,3,162,,,,,,,,,,,,,,,
MIL,AL,1985,690,802,-112,71,0.319,0.379,0.263,0,,,161,,,,,,,,,,,,,,,
MIN,AL,1985,705,782,-77,77,0.326,0.407,0.264,0,,,162,,,,,,,,,,,,,,,
MON,NL,1985,633,636,-3,84,0.31,0.375,0.247,0,,,161,,,,,,,,,,,,,,,
NYM,NL,1985,695,568,127,98,0.323,0.385,0.257,0,,,162,,,,,,,,,,,,,,,
NYY,AL,1985,839,660,179,97,0.344,0.425,0.267,0,,,161,,,,,,,,,,,,,,,
OAK,AL,1985,757,787,-30,77,0.325,0.401,0.264,0,,,162,,,,,,,,,,,,,,,
PHI,NL,1985,667,673,-6,75,0.312,0.383,0.245,0,,,162,,,,,,,,,,,,,,,
PIT,NL,1985,568,708,-140,57,0.311,0.347,0.247,0,,,161,,,,,,,,,,,,,,,
SDP,NL,1985,650,622,28,83,0.32,0.368,0.255,0,,,162,,,,,,,,,,,,,,,
SEA,AL,1985,719,818,-99,74,0.326,0.412,0.255,0,,,162,,,,,,,,,,,,,,,
SFG,NL,1985,556,674,-118,62,0.299,0.348,0.233,0,,,162,,,,,,,,,,,,,,,
STL,NL,1985,747,572,175,101,0.335,0.379,0.264,1,1,2,162,,,,,,,,,,,,,,,
TEX,AL,1985,617,785,-168,62,0.322,0.381,0.253,0,,,161,,,,,,,,,,,,,,,
TOR,AL,1985,759,588,171,99,0.331,0.425,0.269,1,2,3,161,,,,,,,,,,,,,,,
ATL,NL,1984,632,655,-23,80,0.317,0.361,0.247,0,,,162,,,,,,,,,,,,,,,
BAL,AL,1984,681,667,14,85,0.328,0.391,0.252,0,,,162,,,,,,,,,,,,,,,
BOS,AL,1984,810,764,46,86,0.341,0.441,0.283,0,,,162,,,,,,,,,,,,,,,
CAL,AL,1984,696,697,-1,81,0.319,0.381,0.249,0,,,162,,,,,,,,,,,,,,,
CHC,NL,1984,762,658,104,96,0.331,0.397,0.26,1,2,3,161,,,,,,,,,,,,,,,
CHW,AL,1984,679,736,-57,74,0.314,0.395,0.247,0,,,162,,,,,,,,,,,,,,,
CIN,NL,1984,627,747,-120,70,0.313,0.356,0.244,0,,,162,,,,,,,,,,,,,,,
CLE,AL,1984,761,766,-5,75,0.335,0.384,0.265,0,,,163,,,,,,,,,,,,,,,
DET,AL,1984,829,643,186,104,0.342,0.432,0.271,1,1,1,162,,,,,,,,,,,,,,,
HOU,NL,1984,693,630,63,80,0.323,0.371,0.264,0,,,162,,,,,,,,,,,,,,,
KCR,AL,1984,673,686,-13,84,0.317,0.399,0.268,1,4,3,162,,,,,,,,,,,,,,,
LAD,NL,1984,580,600,-20,79,0.306,0.348,0.244,0,,,162,,,,,,,,,,,,,,,
MIL,AL,1984,641,734,-93,67,0.317,0.37,0.262,0,,,161,,,,,,,,,,,,,,,
MIN,AL,1984,673,675,-2,81,0.318,0.385,0.265,0,,,162,,,,,,,,,,,,,,,
MON,NL,1984,593,585,8,78,0.312,0.362,0.251,0,,,161,,,,,,,,,,,,,,,
NYM,NL,1984,652,676,-24,90,0.32,0.369,0.257,0,,,162,,,,,,,,,,,,,,,
NYY,AL,1984,758,679,79,87,0.339,0.404,0.276,0,,,162,,,,,,,,,,,,,,,
OAK,AL,1984,738,796,-58,77,0.327,0.404,0.259,0,,,162,,,,,,,,,,,,,,,
PHI,NL,1984,720,690,30,81,0.333,0.407,0.266,0,,,162,,,,,,,,,,,,,,,
PIT,NL,1984,615,567,48,75,0.31,0.363,0.255,0,,,162,,,,,,,,,,,,,,,
SDP,NL,1984,686,634,52,92,0.317,0.371,0.259,1,3,2,162,,,,,,,,,,,,,,,
SEA,AL,1984,682,774,-92,74,0.324,0.384,0.258,0,,,162,,,,,,,,,,,,,,,
SFG,NL,1984,682,807,-125,66,0.328,0.375,0.265,0,,,162,,,,,,,,,,,,,,,
STL,NL,1984,652,645,7,84,0.317,0.351,0.252,0,,,162,,,,,,,,,,,,,,,
TEX,AL,1984,656,714,-58,69,0.313,0.377,0.261,0,,,161,,,,,,,,,,,,,,,
TOR,AL,1984,750,696,54,89,0.331,0.421,0.273,0,,,163,,,,,,,,,,,,,,,
ATL,NL,1983,746,640,106,88,0.341,0.4,0.272,0,,,162,,,,,,,,,,,,,,,
BAL,AL,1983,799,652,147,98,0.34,0.421,0.269,1,2,1,162,,,,,,,,,,,,,,,
BOS,AL,1983,724,775,-51,78,0.335,0.409,0.27,0,,,162,,,,,,,,,,,,,,,
CAL,AL,1983,722,779,-57,70,0.322,0.393,0.26,0,,,162,,,,,,,,,,,,,,,
CHC,NL,1983,701,719,-18,71,0.319,0.401,0.261,0,,,162,,,,,,,,,,,,,,,
CHW,AL,1983,800,650,150,99,0.329,0.413,0.262,1,1,3,162,,,,,,,,,,,,,,,
CIN,NL,1983,623,710,-87,74,0.314,0.356,0.239,0,,,162,,,,,,,,,,,,,,,
CLE,AL,1983,704,785,-81,70,0.338,0.369,0.265,0,,,162,,,,,,,,,,,,,,,
DET,AL,1983,789,679,110,92,0.335,0.427,0.274,0,,,162,,,,,,,,,,,,,,,
HOU,NL,1983,643,646,-3,85,0.32,0.375,0.257,0,,,162,,,,,,,,,,,,,,,
KCR,AL,1983,696,767,-71,79,0.32,0.397,0.271,0,,,163,,,,,,,,,,,,,,,
LAD,NL,1983,654,609,45,91,0.318,0.379,0.25,1,3,3,163,,,,,,,,,,,,,,,
MIL,AL,1983,764,708,56,87,0.333,0.418,0.277,0,,,162,,,,,,,,,,,,,,,
MIN,AL,1983,709,822,-113,70,0.319,0.401,0.261,0,,,162,,,,,,,,,,,,,,,
MON,NL,1983,677,646,31,82,0.326,0.386,0.264,0,,,163,,,,,,,,,,,,,,,
NYM,NL,1983,575,680,-105,68,0.3,0.344,0.241,0,,,162,,,,,,,,,,,,,,,
NYY,AL,1983,770,703,67,91,0.337,0.416,0.273,0,,,162,,,,,,,,,,,,,,,
OAK,AL,1983,708,782,-74,74,0.326,0.381,0.262,0,,,162,,,,,,,,,,,,,,,
PHI,NL,1983,696,635,61,90,0.329,0.373,0.249,1,4,2,163,,,,,,,,,,,,,,,
PIT,NL,1983,659,648,11,84,0.325,0.383,0.264,0,,,162,,,,,,,,,,,,,,,
SDP,NL,1983,653,653,0,81,0.311,0.351,0.25,0,,,163,,,,,,,,,,,,,,,
SEA,AL,1983,558,740,-182,60,0.301,0.36,0.24,0,,,162,,,,,,,,,,,,,,,
SFG,NL,1983,687,697,-10,79,0.325,0.375,0.247,0,,,162,,,,,,,,,,,,,,,
STL,NL,1983,679,710,-31,79,0.335,0.384,0.27,0,,,162,,,,,,,,,,,,,,,
TEX,AL,1983,639,609,30,77,0.31,0.366,0.255,0,,,163,,,,,,,,,,,,,,,
TOR,AL,1983,795,726,69,89,0.338,0.436,0.277,0,,,162,,,,,,,,,,,,,,,
ATL,NL,1982,739,702,37,89,0.325,0.383,0.256,1,4,3,162,,,,,,,,,,,,,,,
BAL,AL,1982,774,687,87,94,0.341,0.419,0.266,0,,,163,,,,,,,,,,,,,,,
BOS,AL,1982,753,713,40,89,0.34,0.407,0.274,0,,,162,,,,,,,,,,,,,,,
CAL,AL,1982,814,670,144,93,0.347,0.433,0.274,1,2,3,162,,,,,,,,,,,,,,,
CHC,NL,1982,676,709,-33,73,0.317,0.375,0.26,0,,,162,,,,,,,,,,,,,,,
CHW,AL,1982,786,710,76,87,0.337,0.413,0.273,0,,,162,,,,,,,,,,,,,,,
CIN,NL,1982,545,661,-116,61,0.31,0.35,0.251,0,,,162,,,,,,,,,,,,,,,
CLE,AL,1982,683,748,-65,78,0.341,0.373,0.262,0,,,162,,,,,,,,,,,,,,,
DET,AL,1982,729,685,44,83,0.324,0.418,0.266,0,,,162,,,,,,,,,,,,,,,
HOU,NL,1982,569,620,-51,77,0.302,0.349,0.247,0,,,162,,,,,,,,,,,,,,,
KCR,AL,1982,784,717,67,90,0.337,0.428,0.285,0,,,162,,,,,,,,,,,,,,,
LAD,NL,1982,691,612,79,88,0.327,0.388,0.264,0,,,162,,,,,,,,,,,,,,,
MIL,AL,1982,891,717,174,95,0.335,0.455,0.279,1,1,2,163,,,,,,,,,,,,,,,
MIN,AL,1982,657,819,-162,60,0.316,0.396,0.257,0,,,162,,,,,,,,,,,,,,,
MON,NL,1982,697,616,81,86,0.325,0.396,0.262,0,,,162,,,,,,,,,,,,,,,
NYM,NL,1982,609,723,-114,65,0.305,0.35,0.247,0,,,162,,,,,,,,,,,,,,,
NYY,AL,1982,709,716,-7,79,0.328,0.398,0.256,0,,,162,,,,,,,,,,,,,,,
OAK,AL,1982,691,819,-128,68,0.309,0.367,0.236,0,,,162,,,,,,,,,,,,,,,
PHI,NL,1982,664,654,10,89,0.323,0.376,0.26,0,,,162,,,,,,,,,,,,,,,
PIT,NL,1982,724,696,28,84,0.327,0.408,0.273,0,,,162,,,,,,,,,,,,,,,
SDP,NL,1982,675,658,17,81,0.311,0.359,0.257,0,,,162,,,,,,,,,,,,,,,
SEA,AL,1982,651,712,-61,76,0.311,0.381,0.254,0,,,162,,,,,,,,,,,,,,,
SFG,NL,1982,673,687,-14,87,0.327,0.376,0.253,0,,,162,,,,,,,,,,,,,,,
STL,NL,1982,685,609,76,92,0.334,0.364,0.264,1,3,1,162,,,,,,,,,,,,,,,
TEX,AL,1982,590,749,-159,64,0.308,0.359,0.249,0,,,162,,,,,,,,,,,,,,,
TOR,AL,1982,651,701,-50,78,0.314,0.383,0.262,0,,,162,,,,,,,,,,,,,,,
ATL,NL,1980,630,660,-30,81,0.307,0.38,0.25,0,,,161,,,,,,,,,,,,,,,
BAL,AL,1980,805,640,165,100,0.342,0.413,0.273,0,,,162,,,,,,,,,,,,,,,
BOS,AL,1980,757,767,-10,83,0.34,0.436,0.283,0,,,160,,,,,,,,,,,,,,,
CAL,AL,1980,698,797,-99,65,0.332,0.378,0.265,0,,,160,,,,,,,,,,,,,,,
CHC,NL,1980,614,728,-114,64,0.309,0.365,0.251,0,,,162,,,,,,,,,,,,,,,
CHW,AL,1980,587,722,-135,70,0.311,0.37,0.259,0,,,162,,,,,,,,,,,,,,,
CIN,NL,1980,707,670,37,89,0.327,0.386,0.262,0,,,163,,,,,,,,,,,,,,,
CLE,AL,1980,738,807,-69,79,0.35,0.381,0.277,0,,,160,,,,,,,,,,,,,,,
DET,AL,1980,830,757,73,84,0.348,0.409,0.273,0,,,163,,,,,,,,,,,,,,,
HOU,NL,1980,637,589,48,93,0.326,0.367,0.261,1,3,3,163,,,,,,,,,,,,,,,
KCR,AL,1980,809,694,115,97,0.345,0.413,0.286,1,2,2,162,,,,,,,,,,,,,,,
LAD,NL,1980,663,591,72,92,0.323,0.388,0.263,0,,,163,,,,,,,,,,,,,,,
MIL,AL,1980,811,682,129,86,0.329,0.448,0.275,0,,,162,,,,,,,,,,,,,,,
MIN,AL,1980,670,724,-54,77,0.319,0.381,0.265,0,,,161,,,,,,,,,,,,,,,
MON,NL,1980,694,629,65,90,0.324,0.388,0.257,0,,,162,,,,,,,,,,,,,,,
NYM,NL,1980,611,702,-91,67,0.319,0.345,0.257,0,,,162,,,,,,,,,,,,,,,
NYY,AL,1980,820,662,158,103,0.343,0.425,0.267,1,1,3,162,,,,,,,,,,,,,,,
OAK,AL,1980,686,642,44,83,0.322,0.385,0.259,0,,,162,,,,,,,,,,,,,,,
PHI,NL,1980,728,639,89,91,0.327,0.4,0.27,1,4,1,162,,,,,,,,,,,,,,,
PIT,NL,1980,666,646,20,83,0.322,0.388,0.266,0,,,162,,,,,,,,,,,,,,,
SDP,NL,1980,591,654,-63,73,0.324,0.342,0.255,0,,,163,,,,,,,,,,,,,,,
SEA,AL,1980,610,793,-183,59,0.308,0.356,0.248,0,,,163,,,,,,,,,,,,,,,
SFG,NL,1980,573,634,-61,75,0.308,0.342,0.244,0,,,161,,,,,,,,,,,,,,,
STL,NL,1980,738,710,28,74,0.328,0.4,0.275,0,,,162,,,,,,,,,,,,,,,
TEX,AL,1980,756,752,4,76,0.339,0.405,0.284,0,,,163,,,,,,,,,,,,,,,
TOR,AL,1980,624,762,-138,67,0.309,0.383,0.251,0,,,162,,,,,,,,,,,,,,,
ATL,NL,1979,669,763,-94,66,0.318,0.377,0.256,0,,,160,,,,,,,,,,,,,,,
BAL,AL,1979,757,582,175,102,0.336,0.419,0.261,1,1,2,159,,,,,,,,,,,,,,,
BOS,AL,1979,841,711,130,91,0.344,0.456,0.283,0,,,160,,,,,,,,,,,,,,,
CAL,AL,1979,866,768,98,88,0.351,0.429,0.282,1,4,3,162,,,,,,,,,,,,,,,
CHC,NL,1979,706,707,-1,80,0.329,0.403,0.269,0,,,162,,,,,,,,,,,,,,,
CHW,AL,1979,730,748,-18,73,0.333,0.41,0.275,0,,,160,,,,,,,,,,,,,,,
CIN,NL,1979,731,644,87,90,0.338,0.396,0.264,1,3,3,161,,,,,,,,,,,,,,,
CLE,AL,1979,760,805,-45,81,0.34,0.384,0.258,0,,,161,,,,,,,,,,,,,,,
DET,AL,1979,770,738,32,84,0.339,0.415,0.269,0,,,161,,,,,,,,,,,,,,,
HOU,NL,1979,583,582,1,89,0.315,0.344,0.256,0,,,162,,,,,,,,,,,,,,,
KCR,AL,1979,851,816,35,85,0.343,0.422,0.282,0,,,162,,,,,,,,,,,,,,,
LAD,NL,1979,739,717,22,79,0.331,0.412,0.263,0,,,162,,,,,,,,,,,,,,,
MIL,AL,1979,807,722,85,95,0.345,0.448,0.28,0,,,161,,,,,,,,,,,,,,,
MIN,AL,1979,764,725,39,82,0.341,0.402,0.278,0,,,162,,,,,,,,,,,,,,,
MON,NL,1979,701,581,120,95,0.319,0.408,0.264,0,,,160,,,,,,,,,,,,,,,
NYM,NL,1979,593,706,-113,63,0.313,0.35,0.25,0,,,163,,,,,,,,,,,,,,,
NYY,AL,1979,734,672,62,89,0.328,0.406,0.266,0,,,160,,,,,,,,,,,,,,,
OAK,AL,1979,573,860,-287,54,0.302,0.346,0.239,0,,,162,,,,,,,,,,,,,,,
PHI,NL,1979,683,718,-35,84,0.34,0.396,0.266,0,,,163,,,,,,,,,,,,,,,
PIT,NL,1979,775,643,132,98,0.33,0.416,0.272,1,2,1,163,,,,,,,,,,,,,,,
SDP,NL,1979,603,681,-78,68,0.311,0.348,0.242,0,,,161,,,,,,,,,,,,,,,
SEA,AL,1979,711,820,-109,67,0.331,0.404,0.269,0,,,162,,,,,,,,,,,,,,,
SFG,NL,1979,672,751,-79,71,0.319,0.365,0.246,0,,,162,,,,,,,,,,,,,,,
STL,NL,1979,731,693,38,86,0.331,0.401,0.278,0,,,163,,,,,,,,,,,,,,,
TEX,AL,1979,750,698,52,83,0.334,0.409,0.278,0,,,162,,,,,,,,,,,,,,,
TOR,AL,1979,613,862,-249,53,0.311,0.363,0.251,0,,,162,,,,,,,,,,,,,,,
ATL,NL,1978,600,750,-150,69,0.315,0.363,0.244,0,,,162,,,,,,,,,,,,,,,
BAL,AL,1978,659,633,26,90,0.326,0.396,0.258,0,,,161,,,,,,,,,,,,,,,
BOS,AL,1978,796,657,139,99,0.336,0.424,0.267,0,,,163,,,,,,,,,,,,,,,
CAL,AL,1978,691,666,25,87,0.33,0.37,0.259,0,,,162,,,,,,,,,,,,,,,
CHC,NL,1978,664,724,-60,79,0.331,0.361,0.264,0,,,162,,,,,,,,,,,,,,,
CHW,AL,1978,634,731,-97,71,0.317,0.379,0.264,0,,,161,,,,,,,,,,,,,,,
CIN,NL,1978,710,688,22,92,0.334,0.393,0.256,0,,,161,,,,,,,,,,,,,,,
CLE,AL,1978,639,694,-55,69,0.323,0.379,0.261,0,,,159,,,,,,,,,,,,,,,
DET,AL,1978,714,653,61,86,0.339,0.392,0.271,0,,,162,,,,,,,,,,,,,,,
HOU,NL,1978,605,634,-29,74,0.313,0.355,0.258,0,,,162,,,,,,,,,,,,,,,
KCR,AL,1978,743,634,109,92,0.329,0.399,0.268,1,3,3,162,,,,,,,,,,,,,,,
LAD,NL,1978,727,573,154,95,0.338,0.402,0.264,1,2,2,162,,,,,,,,,,,,,,,
MIL,AL,1978,804,650,154,93,0.339,0.432,0.276,0,,,162,,,,,,,,,,,,,,,
MIN,AL,1978,666,678,-12,73,0.339,0.375,0.267,0,,,162,,,,,,,,,,,,,,,
MON,NL,1978,633,611,22,76,0.306,0.379,0.254,0,,,162,,,,,,,,,,,,,,,
NYM,NL,1978,607,690,-83,66,0.314,0.352,0.245,0,,,162,,,,,,,,,,,,,,,
NYY,AL,1978,735,582,153,100,0.329,0.388,0.267,1,1,1,163,,,,,,,,,,,,,,,
OAK,AL,1978,532,690,-158,69,0.303,0.351,0.245,0,,,162,,,,,,,,,,,,,,,
PHI,NL,1978,708,586,122,90,0.328,0.388,0.258,1,4,3,162,,,,,,,,,,,,,,,
PIT,NL,1978,684,637,47,88,0.32,0.385,0.257,0,,,161,,,,,,,,,,,,,,,
SDP,NL,1978,591,598,-7,84,0.321,0.348,0.252,0,,,162,,,,,,,,,,,,,,,
SEA,AL,1978,614,834,-220,56,0.314,0.359,0.248,0,,,160,,,,,,,,,,,,,,,
SFG,NL,1978,613,594,19,89,0.318,0.374,0.248,0,,,162,,,,,,,,,,,,,,,
STL,NL,1978,600,657,-57,69,0.303,0.358,0.249,0,,,162,,,,,,,,,,,,,,,
TEX,AL,1978,692,632,60,87,0.332,0.381,0.253,0,,,162,,,,,,,,,,,,,,,
TOR,AL,1978,590,775,-185,59,0.308,0.359,0.25,0,,,161,,,,,,,,,,,,,,,
ATL,NL,1977,678,895,-217,61,0.32,0.376,0.254,0,,,162,,,,,,,,,,,,,,,
BAL,AL,1977,719,653,66,97,0.329,0.393,0.261,0,,,161,,,,,,,,,,,,,,,
BOS,AL,1977,859,712,147,97,0.345,0.465,0.281,0,,,161,,,,,,,,,,,,,,,
CAL,AL,1977,675,695,-20,74,0.324,0.386,0.255,0,,,162,,,,,,,,,,,,,,,
CHC,NL,1977,692,739,-47,81,0.33,0.387,0.266,0,,,162,,,,,,,,,,,,,,,
CHW,AL,1977,844,771,73,90,0.344,0.444,0.278,0,,,162,,,,,,,,,,,,,,,
CIN,NL,1977,802,725,77,88,0.345,0.436,0.274,0,,,162,,,,,,,,,,,,,,,
CLE,AL,1977,676,739,-63,71,0.334,0.38,0.269,0,,,161,,,,,,,,,,,,,,,
DET,AL,1977,714,751,-37,74,0.318,0.41,0.264,0,,,162,,,,,,,,,,,,,,,
HOU,NL,1977,680,650,30,81,0.32,0.385,0.254,0,,,162,,,,,,,,,,,,,,,
KCR,AL,1977,822,651,171,102,0.34,0.436,0.277,1,1,3,162,,,,,,,,,,,,,,,
LAD,NL,1977,769,582,187,98,0.336,0.418,0.266,1,4,2,162,,,,,,,,,,,,,,,
MIL,AL,1977,639,765,-126,67,0.314,0.389,0.258,0,,,162,,,,,,,,,,,,,,,
MIN,AL,1977,867,776,91,84,0.348,0.417,0.282,0,,,161,,,,,,,,,,,,,,,
MON,NL,1977,665,736,-71,75,0.318,0.402,0.26,0,,,162,,,,,,,,,,,,,,,
NYM,NL,1977,587,663,-76,64,0.313,0.346,0.244,0,,,162,,,,,,,,,,,,,,,
NYY,AL,1977,831,651,180,100,0.344,0.444,0.281,1,3,1,162,,,,,,,,,,,,,,,
OAK,AL,1977,605,749,-144,63,0.308,0.352,0.24,0,,,161,,,,,,,,,,,,,,,
PHI,NL,1977,847,668,179,101,0.346,0.448,0.279,1,2,3,162,,,,,,,,,,,,,,,
PIT,NL,1977,734,665,69,96,0.331,0.413,0.274,0,,,162,,,,,,,,,,,,,,,
SDP,NL,1977,692,834,-142,69,0.324,0.375,0.249,0,,,162,,,,,,,,,,,,,,,
SEA,AL,1977,624,855,-231,64,0.312,0.381,0.256,0,,,162,,,,,,,,,,,,,,,
SFG,NL,1977,673,711,-38,75,0.323,0.383,0.253,0,,,162,,,,,,,,,,,,,,,
STL,NL,1977,737,688,49,83,0.33,0.388,0.27,0,,,162,,,,,,,,,,,,,,,
TEX,AL,1977,767,657,110,94,0.342,0.405,0.27,0,,,162,,,,,,,,,,,,,,,
TOR,AL,1977,605,822,-217,54,0.316,0.365,0.252,0,,,161,,,,,,,,,,,,,,,
ATL,NL,1976,620,700,-80,70,0.32,0.334,0.245,0,,,162,,,,,,,,,,,,,,,
BAL,AL,1976,619,598,21,88,0.31,0.358,0.243,0,,,162,,,,,,,,,,,,,,,
BOS,AL,1976,716,660,56,83,0.324,0.402,0.263,0,,,162,,,,,,,,,,,,,,,
CAL,AL,1976,550,631,-81,76,0.306,0.318,0.235,0,,,162,,,,,,,,,,,,,,,
CHC,NL,1976,611,728,-117,75,0.313,0.356,0.251,0,,,162,,,,,,,,,,,,,,,
CHW,AL,1976,586,745,-159,64,0.314,0.349,0.255,0,,,161,,,,,,,,,,,,,,,
CIN,NL,1976,857,633,224,102,0.357,0.424,0.28,1,1,1,162,,,,,,,,,,,,,,,
CLE,AL,1976,615,615,0,81,0.321,0.359,0.263,0,,,159,,,,,,,,,,,,,,,
DET,AL,1976,609,709,-100,74,0.315,0.365,0.257,0,,,161,,,,,,,,,,,,,,,
HOU,NL,1976,625,657,-32,80,0.322,0.347,0.256,0,,,162,,,,,,,,,,,,,,,
KCR,AL,1976,713,611,102,90,0.327,0.371,0.269,1,4,3,162,,,,,,,,,,,,,,,
LAD,NL,1976,608,543,65,92,0.313,0.349,0.251,0,,,162,,,,,,,,,,,,,,,
MIL,AL,1976,570,655,-85,66,0.311,0.34,0.246,0,,,161,,,,,,,,,,,,,,,
MIN,AL,1976,743,704,39,85,0.341,0.375,0.274,0,,,162,,,,,,,,,,,,,,,
MON,NL,1976,531,734,-203,55,0.291,0.34,0.235,0,,,162,,,,,,,,,,,,,,,
NYM,NL,1976,615,538,77,86,0.319,0.352,0.246,0,,,162,,,,,,,,,,,,,,,
NYY,AL,1976,730,575,155,97,0.328,0.389,0.269,1,3,2,159,,,,,,,,,,,,,,,
OAK,AL,1976,686,598,88,87,0.323,0.361,0.246,0,,,161,,,,,,,,,,,,,,,
PHI,NL,1976,770,557,213,101,0.338,0.395,0.272,1,2,3,162,,,,,,,,,,,,,,,
PIT,NL,1976,708,630,78,92,0.321,0.391,0.267,0,,,162,,,,,,,,,,,,,,,
SDP,NL,1976,570,662,-92,73,0.31,0.337,0.247,0,,,162,,,,,,,,,,,,,,,
SFG,NL,1976,595,686,-91,74,0.312,0.345,0.246,0,,,162,,,,,,,,,,,,,,,
STL,NL,1976,629,671,-42,72,0.323,0.359,0.26,0,,,162,,,,,,,,,,,,,,,
TEX,AL,1976,616,652,-36,76,0.321,0.341,0.25,0,,,162,,,,,,,,,,,,,,,
ATL,NL,1975,583,739,-156,67,0.313,0.346,0.244,0,,,161,,,,,,,,,,,,,,,
BAL,AL,1975,682,553,129,90,0.326,0.373,0.252,0,,,159,,,,,,,,,,,,,,,
BOS,AL,1975,796,709,87,95,0.344,0.417,0.275,1,3,2,160,,,,,,,,,,,,,,,
CAL,AL,1975,628,723,-95,72,0.322,0.328,0.246,0,,,161,,,,,,,,,,,,,,,
CHC,NL,1975,712,827,-115,75,0.338,0.368,0.259,0,,,162,,,,,,,,,,,,,,,
CHW,AL,1975,655,703,-48,75,0.331,0.358,0.255,0,,,161,,,,,,,,,,,,,,,
CIN,NL,1975,840,586,254,108,0.353,0.401,0.271,1,1,1,162,,,,,,,,,,,,,,,
CLE,AL,1975,688,703,-15,79,0.327,0.392,0.261,0,,,159,,,,,,,,,,,,,,,
DET,AL,1975,570,786,-216,57,0.301,0.366,0.249,0,,,159,,,,,,,,,,,,,,,
HOU,NL,1975,664,711,-47,64,0.32,0.359,0.254,0,,,162,,,,,,,,,,,,,,,
KCR,AL,1975,710,649,61,91,0.333,0.394,0.261,0,,,162,,,,,,,,,,,,,,,
LAD,NL,1975,648,534,114,88,0.325,0.365,0.248,0,,,162,,,,,,,,,,,,,,,
MIL,AL,1975,675,792,-117,68,0.32,0.389,0.25,0,,,162,,,,,,,,,,,,,,,
MIN,AL,1975,724,736,-12,76,0.341,0.386,0.271,0,,,159,,,,,,,,,,,,,,,
MON,NL,1975,601,690,-89,75,0.317,0.348,0.244,0,,,162,,,,,,,,,,,,,,,
NYM,NL,1975,646,625,21,82,0.319,0.361,0.256,0,,,162,,,,,,,,,,,,,,,
NYY,AL,1975,681,588,93,83,0.325,0.382,0.264,0,,,160,,,,,,,,,,,,,,,
OAK,AL,1975,758,606,152,98,0.333,0.391,0.254,1,2,3,162,,,,,,,,,,,,,,,
PHI,NL,1975,735,694,41,86,0.342,0.402,0.269,0,,,162,,,,,,,,,,,,,,,
PIT,NL,1975,712,565,147,92,0.323,0.402,0.263,1,4,3,161,,,,,,,,,,,,,,,
SDP,NL,1975,552,683,-131,71,0.31,0.335,0.244,0,,,162,,,,,,,,,,,,,,,
SFG,NL,1975,659,671,-12,80,0.333,0.365,0.259,0,,,161,,,,,,,,,,,,,,,
STL,NL,1975,662,689,-27,82,0.327,0.375,0.273,0,,,163,,,,,,,,,,,,,,,
