Source: baseball-reference.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEX,AL,1975,714,733,-19,79,0.33,0.371,0.256,0,,,162,,,,,,,,,,,,,,,
ATL,NL,1974,661,563,98,88,0.319,0.363,0.249,0,,,163,,,,,,,,,,,,,,,
BAL,AL,1974,659,612,47,91,0.322,0.37,0.256,1,2,3,162,,,,,,,,,,,,,,,
BOS,AL,1974,696,661,35,84,0.333,0.377,0.264,0,,,162,,,,,,,,,,,,,,,
CAL,AL,1974,618,657,-39,68,0.321,0.356,0.254,0,,,163,,,,,,,,,,,,,,,
CHC,NL,1974,669,826,-157,66,0.327,0.365,0.251,0,,,162,,,,,,,,,,,,,,,
CHW,AL,1974,684,721,-37,80,0.33,0.389,0.268,0,,,163,,,,,,,,,,,,,,,
CIN,NL,1974,776,631,145,98,0.343,0.394,0.26,0,,,163,,,,,,,,,,,,,,,
CLE,AL,1974,662,694,-32,77,0.311,0.37,0.255,0,,,162,,,,,,,,,,,,,,,
DET,AL,1974,620,768,-148,72,0.303,0.366,0.247,0,,,162,,,,,,,,,,,,,,,
HOU,NL,1974,653,632,21,81,0.322,0.378,0.263,0,,,162,,,,,,,,,,,,,,,
KCR,AL,1974,667,662,5,77,0.327,0.364,0.259,0,,,162,,,,,,,,,,,,,,,
LAD,NL,1974,798,561,237,102,0.342,0.401,0.272,1,1,2,162,,,,,,,,,,,,,,,
MIL,AL,1974,647,660,-13,76,0.309,0.369,0.244,0,,,162,,,,,,,,,,,,,,,
MIN,AL,1974,673,669,4,82,0.336,0.378,0.272,0,,,163,,,,,,,,,,,,,,,
MON,NL,1974,662,657,5,79,0.335,0.35,0.254,0,,,161,,,,,,,,,,,,,,,
NYM,NL,1974,572,646,-74,71,0.311,0.329,0.235,0,,,162,,,,,,,,,,,,,,,
NYY,AL,1974,671,623,48,89,0.324,0.368,0.263,0,,,162,,,,,,,,,,,,,,,
OAK,AL,1974,689,551,138,90,0.321,0.373,0.247,1,3,1,162,,,,,,,,,,,,,,,
PHI,NL,1974,676,701,-25,80,0.32,0.373,0.261,0,,,162,,,,,,,,,,,,,,,
PIT,NL,1974,751,657,94,88,0.335,0.391,0.274,1,4,3,162,,,,,,,,,,,,,,,
SDP,NL,1974,541,830,-289,60,0.302,0.33,0.229,0,,,162,,,,,,,,,,,,,,,
SFG,NL,1974,634,723,-89,72,0.322,0.358,0.252,0,,,162,,,,,,,,,,,,,,,
STL,NL,1974,677,643,34,86,0.331,0.365,0.265,0,,,161,,,,,,,,,,,,,,,
TEX,AL,1974,690,698,-8,83,0.336,0.377,0.272,0,,,161,,,,,,,,,,,,,,,
ATL,NL,1973,799,774,25,76,0.339,0.427,0.266,0,,,162,,,,,,,,,,,,,,,
BAL,AL,1973,754,561,193,97,0.345,0.389,0.266,1,2,3,162,,,,,,,,,,,,,,,
BOS,AL,1973,738,647,91,89,0.338,0.401,0.267,0,,,162,,,,,,,,,,,,,,,
CAL,AL,1973,629,657,-28,79,0.318,0.348,0.253,0,,,162,,,,,,,,,,,,,,,
CHC,NL,1973,614,655,-41,77,0.32,0.357,0.247,0,,,161,,,,,,,,,,,,,,,
CHW,AL,1973,652,705,-53,77,0.324,0.372,0.256,0,,,162,,,,,,,,,,,,,,,
CIN,NL,1973,741,621,120,99,0.332,0.383,0.254,1,1,3,162,,,,,,,,,,,,,,,
CLE,AL,1973,680,826,-146,71,0.315,0.387,0.256,0,,,162,,,,,,,,,,,,,,,
DET,AL,1973,642,674,-32,85,0.32,0.39,0.254,0,,,162,,,,,,,,,,,,,,,
HOU,NL,1973,681,672,9,82,0.312,0.376,0.251,0,,,162,,,,,,,,,,,,,,,
KCR,AL,1973,755,752,3,88,0.339,0.381,0.261,0,,,162,,,,,,,,,,,,,,,
LAD,NL,1973,675,565,110,95,0.323,0.371,0.263,0,,,162,,,,,,,,,,,,,,,
MIL,AL,1973,708,731,-23,74,0.325,0.388,0.253,0,,,162,,,,,,,,,,,,,,,
MIN,AL,1973,738,692,46,81,0.342,0.393,0.27,0,,,162,,,,,,,,,,,,,,,
MON,NL,1973,668,702,-34,79,0.34,0.364,0.251,0,,,162,,,,,,,,,,,,,,,
NYM,NL,1973,608,588,20,82,0.315,0.338,0.246,1,4,2,161,,,,,,,,,,,,,,,
NYY,AL,1973,641,610,31,80,0.322,0.378,0.261,0,,,162,,,,,,,,,,,,,,,
OAK,AL,1973,758,615,143,94,0.333,0.389,0.26,1,3,1,162,,,,,,,,,,,,,,,
PHI,NL,1973,642,717,-75,71,0.31,0.371,0.249,0,,,162,,,,,,,,,,,,,,,
PIT,NL,1973,704,693,11,80,0.315,0.405,0.261,0,,,162,,,,,,,,,,,,,,,
SDP,NL,1973,548,770,-222,60,0.296,0.351,0.244,0,,,162,,,,,,,,,,,,,,,
SFG,NL,1973,739,702,37,88,0.335,0.407,0.262,0,,,162,,,,,,,,,,,,,,,
STL,NL,1973,643,603,40,81,0.325,0.357,0.259,0,,,162,,,,,,,,,,,,,,,
TEX,AL,1973,619,844,-225,57,0.318,0.361,0.255,0,,,162,,,,,,,,,,,,,,,
ATL,NL,1971,643,699,-56,82,0.312,0.385,0.257,0,,,162,,,,,,,,,,,,,,,
BAL,AL,1971,742,530,212,101,0.347,0.398,0.261,1,1,2,158,,,,,,,,,,,,,,,
BOS,AL,1971,691,667,24,85,0.322,0.397,0.252,0,,,162,,,,,,,,,,,,,,,
CAL,AL,1971,511,576,-65,76,0.29,0.329,0.231,0,,,162,,,,,,,,,,,,,,,
CHC,NL,1971,637,648,-11,83,0.325,0.378,0.258,0,,,162,,,,,,,,,,,,,,,
CHW,AL,1971,617,597,20,79,0.325,0.373,0.25,0,,,162,,,,,,,,,,,,,,,
CIN,NL,1971,586,581,5,79,0.3,0.366,0.241,0,,,162,,,,,,,,,,,,,,,
CLE,AL,1971,543,747,-204,60,0.3,0.342,0.238,0,,,162,,,,,,,,,,,,,,,
DET,AL,1971,701,645,56,91,0.325,0.405,0.254,0,,,162,,,,,,,,,,,,,,,
HOU,NL,1971,585,567,18,79,0.302,0.34,0.24,0,,,162,,,,,,,,,,,,,,,
KCR,AL,1971,603,566,37,85,0.313,0.353,0.25,0,,,161,,,,,,,,,,,,,,,
LAD,NL,1971,663,587,76,89,0.325,0.37,0.266,0,,,162,,,,,,,,,,,,,,,
MIL,AL,1971,534,609,-75,69,0.304,0.329,0.229,0,,,161,,,,,,,,,,,,,,,
MIN,AL,1971,654,670,-16,74,0.323,0.372,0.26,0,,,160,,,,,,,,,,,,,,,
MON,NL,1971,622,729,-107,71,0.322,0.343,0.246,0,,,162,,,,,,,,,,,,,,,
NYM,NL,1971,588,550,38,83,0.319,0.351,0.249,0,,,162,,,,,,,,,,,,,,,
NYY,AL,1971,648,641,7,81,0.328,0.36,0.254,0,,,162,,,,,,,,,,,,,,,
OAK,AL,1971,691,564,127,101,0.321,0.384,0.252,1,1,3,161,,,,,,,,,,,,,,,
PHI,NL,1971,558,688,-130,67,0.298,0.35,0.233,0,,,162,,,,,,,,,,,,,,,
PIT,NL,1971,788,599,189,97,0.33,0.416,0.274,1,2,1,162,,,,,,,,,,,,,,,
SDP,NL,1971,486,610,-124,61,0.293,0.332,0.233,0,,,161,,,,,,,,,,,,,,,
SFG,NL,1971,706,644,62,90,0.329,0.378,0.247,1,3,3,162,,,,,,,,,,,,,,,
STL,NL,1971,739,699,40,90,0.338,0.385,0.275,0,,,163,,,,,,,,,,,,,,,
WSA,AL,1971,537,660,-123,63,0.307,0.326,0.23,0,,,159,,,,,,,,,,,,,,,
ATL,NL,1970,736,772,-36,76,0.334,0.404,0.27,0,,,162,,,,,,,,,,,,,,,
BAL,AL,1970,792,574,218,108,0.344,0.401,0.257,1,1,1,162,,,,,,,,,,,,,,,
BOS,AL,1970,786,722,64,87,0.335,0.428,0.262,0,,,162,,,,,,,,,,,,,,,
CAL,AL,1970,631,630,1,86,0.309,0.363,0.251,0,,,162,,,,,,,,,,,,,,,
CHC,NL,1970,806,679,127,84,0.333,0.415,0.259,0,,,162,,,,,,,,,,,,,,,
CHW,AL,1970,633,822,-189,56,0.315,0.362,0.253,0,,,162,,,,,,,,,,,,,,,
CIN,NL,1970,775,681,94,102,0.336,0.436,0.27,1,2,2,162,,,,,,,,,,,,,,,
CLE,AL,1970,649,675,-26,76,0.314,0.394,0.249,0,,,162,,,,,,,,,,,,,,,
DET,AL,1970,666,731,-65,79,0.322,0.374,0.238,0,,,162,,,,,,,,,,,,,,,
HOU,NL,1970,744,763,-19,79,0.332,0.391,0.259,0,,,162,,,,,,,,,,,,,,,
KCR,AL,1970,611,705,-94,65,0.309,0.348,0.244,0,,,162,,,,,,,,,,,,,,,
LAD,NL,1970,749,684,65,87,0.334,0.382,0.27,0,,,161,,,,,,,,,,,,,,,
MIL,AL,1970,613,751,-138,65,0.319,0.358,0.242,0,,,163,,,,,,,,,,,,,,,
MIN,AL,1970,744,605,139,98,0.327,0.403,0.262,1,3,3,162,,,,,,,,,,,,,,,
MON,NL,1970,687,807,-120,73,0.323,0.365,0.237,0,,,162,,,,,,,,,,,,,,,
NYM,NL,1970,695,630,65,83,0.333,0.37,0.249,0,,,162,,,,,,,,,,,,,,,
NYY,AL,1970,680,612,68,93,0.324,0.365,0.251,0,,,163,,,,,,,,,,,,,,,
OAK,AL,1970,678,593,85,89,0.325,0.392,0.249,0,,,162,,,,,,,,,,,,,,,
PHI,NL,1970,594,730,-136,73,0.305,0.356,0.238,0,,,161,,,,,,,,,,,,,,,
PIT,NL,1970,729,664,65,89,0.325,0.406,0.27,1,4,3,162,,,,,,,,,,,,,,,
SDP,NL,1970,681,788,-107,63,0.312,0.391,0.246,0,,,162,,,,,,,,,,,,,,,
SFG,NL,1970,831,826,5,86,0.351,0.409,0.262,0,,,162,,,,,,,,,,,,,,,
STL,NL,1970,744,747,-3,76,0.331,0.379,0.263,0,,,162,,,,,,,,,,,,,,,
WSA,AL,1970,626,689,-63,70,0.321,0.358,0.238,0,,,162,,,,,,,,,,,,,,,
ATL,NL,1969,691,631,60,93,0.321,0.38,0.258,1,4,3,162,,,,,,,,,,,,,,,
BAL,AL,1969,779,517,262,109,0.343,0.414,0.265,1,1,2,162,,,,,,,,,,,,,,,
BOS,AL,1969,743,736,7,87,0.333,0.415,0.251,0,,,162,,,,,,,,,,,,,,,
CAL,AL,1969,528,652,-124,71,0.3,0.319,0.23,0,,,163,,,,,,,,,,,,,,,
CHC,NL,1969,720,611,109,92,0.323,0.384,0.253,0,,,163,,,,,,,,,,,,,,,
CHW,AL,1969,625,723,-98,68,0.32,0.357,0.247,0,,,162,,,,,,,,,,,,,,,
CIN,NL,1969,798,768,30,89,0.335,0.422,0.277,0,,,163,,,,,,,,,,,,,,,
CLE,AL,1969,573,717,-144,62,0.307,0.345,0.237,0,,,161,,,,,,,,,,,,,,,
DET,AL,1969,701,601,100,90,0.316,0.387,0.242,0,,,162,,,,,,,,,,,,,,,
HOU,NL,1969,676,668,8,81,0.33,0.352,0.24,0,,,162,,,,,,,,,,,,,,,
KCR,AL,1969,586,688,-102,69,0.309,0.338,0.24,0,,,163,,,,,,,,,,,,,,,
LAD,NL,1969,645,561,84,85,0.315,0.359,0.254,0,,,162,,,,,,,,,,,,,,,
MIN,AL,1969,790,618,172,97,0.34,0.408,0.268,1,3,3,162,,,,,,,,,,,,,,,
MON,NL,1969,582,791,-209,52,0.31,0.359,0.24,0,,,162,,,,,,,,,,,,,,,
NYM,NL,1969,632,541,91,100,0.311,0.351,0.242,1,2,1,162,,,,,,,,,,,,,,,
NYY,AL,1969,562,587,-25,80,0.308,0.344,0.235,0,,,162,,,,,,,,,,,,,,,
OAK,AL,1969,740,678,62,88,0.329,0.376,0.249,0,,,162,,,,,,,,,,,,,,,
PHI,NL,1969,645,745,-100,63,0.312,0.372,0.241,0,,,162,,,,,,,,,,,,,,,
PIT,NL,1969,725,652,73,88,0.334,0.398,0.277,0,,,162,,,,,,,,,,,,,,,
SDP,NL,1969,468,746,-278,52,0.285,0.329,0.225,0,,,162,,,,,,,,,,,,,,,
SEP,AL,1969,639,799,-160,64,0.316,0.346,0.234,0,,,163,,,,,,,,,,,,,,,
SFG,NL,1969,713,636,77,90,0.334,0.361,0.242,0,,,162,,,,,,,,,,,,,,,
STL,NL,1969,595,540,55,87,0.316,0.359,0.253,0,,,162,,,,,,,,,,,,,,,
WSA,AL,1969,694,644,50,86,0.33,0.378,0.251,0,,,162,,,,,,,,,,,,,,,
ATL,NL,1968,514,549,-35,81,0.307,0.339,0.252,0,,,163,,,,,,,,,,,,,,,
BAL,AL,1968,579,497,82,91,0.304,0.352,0.225,0,,,162,,,,,,,,,,,,,,,
BOS,AL,1968,614,611,3,86,0.313,0.352,0.236,0,,,162,,,,,,,,,,,,,,,
CAL,AL,1968,498,615,-117,67,0.291,0.318,0.227,0,,,162,,,,,,,,,,,,,,,
CHC,NL,1968,612,611,1,84,0.298,0.366,0.242,0,,,163,,,,,,,,,,,,,,,
CHW,AL,1968,463,527,-64,67,0.284,0.311,0.228,0,,,162,,,,,,,,,,,,,,,
CIN,NL,1968,690,673,17,83,0.32,0.389,0.273,0,,,163,,,,,,,,,,,,,,,
CLE,AL,1968,516,504,12,86,0.293,0.327,0.234,0,,,162,,,,,,,,,,,,,,,
DET,AL,1968,671,492,179,103,0.307,0.385,0.235,1,1,1,164,,,,,,,,,,,,,,,
HOU,NL,1968,510,588,-78,72,0.298,0.317,0.231,0,,,162,,,,,,,,,,,,,,,
LAD,NL,1968,470,509,-39,76,0.289,0.319,0.23,0,,,162,,,,,,,,,,,,,,,
MIN,AL,1968,562,546,16,79,0.299,0.35,0.237,0,,,162,,,,,,,,,,,,,,,
NYM,NL,1968,473,499,-26,73,0.281,0.315,0.228,0,,,163,,,,,,,,,,,,,,,
NYY,AL,1968,536,531,5,83,0.292,0.318,0.214,0,,,164,,,,,,,,,,,,,,,
OAK,AL,1968,569,544,25,82,0.304,0.343,0.24,0,,,163,,,,,,,,,,,,,,,
PHI,NL,1968,543,615,-72,76,0.294,0.333,0.233,0,,,162,,,,,,,,,,,,,,,
PIT,NL,1968,583,532,51,80,0.306,0.343,0.252,0,,,163,,,,,,,,,,,,,,,
SFG,NL,1968,599,529,70,88,0.307,0.341,0.239,0,,,163,,,,,,,,,,,,,,,
STL,NL,1968,583,472,111,97,0.298,0.346,0.249,1,2,2,162,,,,,,,,,,,,,,,
WSA,AL,1968,524,665,-141,65,0.287,0.336,0.224,0,,,161,,,,,,,,,,,,,,,
ATL,NL,1967,631,640,-9,77,0.307,0.372,0.24,0,,,162,,,,,,,,,,,,,,,
BAL,AL,1967,654,592,62,76,0.31,0.372,0.24,0,,,161,,,,,,,,,,,,,,,
BOS,AL,1967,722,614,108,92,0.321,0.395,0.255,1,2,2,162,,,,,,,,,,,,,,,
CAL,AL,1967,567,587,-20,84,0.301,0.349,0.238,0,,,161,,,,,,,,,,,,,,,
CHC,NL,1967,702,624,78,87,0.316,0.378,0.251,0,,,162,,,,,,,,,,,,,,,
CHW,AL,1967,531,491,40,89,0.291,0.32,0.225,0,,,162,,,,,,,,,,,,,,,
CIN,NL,1967,604,563,41,87,0.297,0.372,0.248,0,,,162,,,,,,,,,,,,,,,
CLE,AL,1967,559,613,-54,75,0.293,0.359,0.235,0,,,162,,,,,,,,,,,,,,,
DET,AL,1967,683,587,96,91,0.325,0.376,0.243,0,,,163,,,,,,,,,,,,,,,
HOU,NL,1967,626,742,-116,69,0.317,0.364,0.249,0,,,162,,,,,,,,,,,,,,,
KCA,AL,1967,533,660,-127,62,0.296,0.33,0.233,0,,,161,,,,,,,,,,,,,,,
LAD,NL,1967,519,595,-76,73,0.301,0.332,0.236,0,,,162,,,,,,,,,,,,,,,
MIN,AL,1967,671,590,81,91,0.309,0.369,0.24,0,,,164,,,,,,,,,,,,,,,
NYM,NL,1967,498,672,-174,61,0.288,0.325,0.238,0,,,162,,,,,,,,,,,,,,,
NYY,AL,1967,522,621,-99,72,0.296,0.317,0.225,0,,,163,,,,,,,,,,,,,,,
PHI,NL,1967,612,581,31,82,0.313,0.357,0.242,0,,,162,,,,,,,,,,,,,,,
PIT,NL,1967,679,693,-14,81,0.324,0.38,0.277,0,,,163,,,,,,,,,,,,,,,
SFG,NL,1967,652,551,101,91,0.313,0.372,0.245,0,,,162,,,,,,,,,,,,,,,
STL,NL,1967,695,557,138,101,0.32,0.379,0.263,1,1,1,161,,,,,,,,,,,,,,,
WSA,AL,1967,550,637,-87,76,0.288,0.326,0.223,0,,,161,,,,,,,,,,,,,,,
ATL,NL,1966,782,683,99,85,0.326,0.424,0.263,0,,,163,,,,,,,,,,,,,,,
BAL,AL,1966,755,601,154,97,0.324,0.409,0.258,1,1,1,160,,,,,,,,,,,,,,,
BOS,AL,1966,655,731,-76,72,0.31,0.376,0.24,0,,,162,,,,,,,,,,,,,,,
CAL,AL,1966,604,643,-39,80,0.303,0.354,0.232,0,,,162,,,,,,,,,,,,,,,
CHC,NL,1966,644,809,-165,59,0.313,0.38,0.254,0,,,162,,,,,,,,,,,,,,,
CHW,AL,1966,574,517,57,83,0.297,0.331,0.231,0,,,163,,,,,,,,,,,,,,,
CIN,NL,1966,692,702,-10,76,0.309,0.395,0.26,0,,,160,,,,,,,,,,,,,,,
CLE,AL,1966,574,586,-12,81,0.297,0.36,0.237,0,,,162,,,,,,,,,,,,,,,
DET,AL,1966,719,698,21,88,0.321,0.406,0.251,0,,,162,,,,,,,,,,,,,,,
HOU,NL,1966,612,695,-83,72,0.318,0.365,0.255,0,,,163,,,,,,,,,,,,,,,
KCA,AL,1966,564,648,-84,74,0.294,0.337,0.236,0,,,160,,,,,,,,,,,,,,,
LAD,NL,1966,606,490,116,95,0.314,0.362,0.256,1,2,2,162,,,,,,,,,,,,,,,
MIN,AL,1966,663,581,82,89,0.316,0.382,0.249,0,,,162,,,,,,,,,,,,,,,
NYM,NL,1966,587,761,-174,66,0.301,0.342,0.239,0,,,161,,,,,,,,,,,,,,,
NYY,AL,1966,611,612,-1,70,0.299,0.374,0.235,0,,,160,,,,,,,,,,,,,,,
PHI,NL,1966,696,640,56,87,0.322,0.378,0.258,0,,,162,,,,,,,,,,,,,,,
PIT,NL,1966,759,641,118,92,0.329,0.428,0.279,0,,,162,,,,,,,,,,,,,,,
SFG,NL,1966,675,626,49,93,0.303,0.392,0.248,0,,,161,,,,,,,,,,,,,,,
STL,NL,1966,571,577,-6,83,0.298,0.368,0.251,0,,,162,,,,,,,,,,,,,,,
WSA,AL,1966,557,659,-102,71,0.295,0.355,0.234,0,,,159,,,,,,,,,,,,,,,
BAL,AL,1965,641,578,63,94,0.307,0.363,0.238,0,,,162,,,,,,,,,,,,,,,
BOS,AL,1965,669,791,-122,62,0.327,0.4,0.251,0,,,162,,,,,,,,,,,,,,,
CAL,AL,1965,527,569,-42,75,0.297,0.341,0.239,0,,,162,,,,,,,,,,,,,,,
CHC,NL,1965,635,723,-88,72,0.307,0.358,0.238,0,,,164,,,,,,,,,,,,,,,
CHW,AL,1965,647,555,92,95,0.315,0.364,0.246,0,,,162,,,,,,,,,,,,,,,
CIN,NL,1965,825,704,121,89,0.339,0.439,0.273,0,,,162,,,,,,,,,,,,,,,
CLE,AL,1965,663,613,50,87,0.315,0.379,0.25,0,,,162,,,,,,,,,,,,,,,
DET,AL,1965,680,602,78,89,0.312,0.374,0.238,0,,,162,,,,,,,,,,,,,,,
HOU,NL,1965,569,711,-142,65,0.305,0.34,0.237,0,,,162,,,,,,,,,,,,,,,
KCA,AL,1965,585,755,-170,59,0.309,0.358,0.24,0,,,162,,,,,,,,,,,,,,,
LAD,NL,1965,608,521,87,97,0.312,0.335,0.245,1,2,1,162,,,,,,,,,,,,,,,
MIN,AL,1965,774,600,174,102,0.324,0.399,0.254,1,1,2,162,,,,,,,,,,,,,,,
MLN,NL,1965,708,633,75,86,0.31,0.416,0.256,0,,,162,,,,,,,,,,,,,,,
NYM,NL,1965,495,752,-257,50,0.277,0.327,0.221,0,,,164,,,,,,,,,,,,,,,
NYY,AL,1965,611,604,7,77,0.299,0.364,0.235,0,,,162,,,,,,,,,,,,,,,
PHI,NL,1965,654,667,-13,85,0.313,0.384,0.25,0,,,162,,,,,,,,,,,,,,,
PIT,NL,1965,675,580,95,90,0.317,0.382,0.265,0,,,163,,,,,,,,,,,,,,,
SFG,NL,1965,682,593,89,95,0.313,0.385,0.252,0,,,163,,,,,,,,,,,,,,,
STL,NL,1965,707,674,33,80,0.314,0.371,0.254,0,,,162,,,,,,,,,,,,,,,
WSA,AL,1965,591,721,-130,70,0.304,0.35,0.228,0,,,162,,,,,,,,,,,,,,,
BAL,AL,1964,679,567,112,97,0.316,0.387,0.248,0,,,163,,,,,,,,,,,,,,,
BOS,AL,1964,688,793,-105,72,0.322,0.416,0.258,0,,,162,,,,,,,,,,,,,,,
CHC,NL,1964,649,724,-75,76,0.314,0.39,0.251,0,,,162,,,,,,,,,,,,,,,
CHW,AL,1964,642,501,141,98,0.32,0.353,0.247,0,,,162,,,,,,,,,,,,,,,
CIN,NL,1964,660,566,94,92,0.308,0.372,0.249,0,,,163,,,,,,,,,,,,,,,
CLE,AL,1964,689,693,-4,79,0.312,0.38,0.247,0,,,164,,,,,,,,,,,,,,,
DET,AL,1964,699,678,21,85,0.319,0.395,0.253,0,,,163,,,,,,,,,,,,,,,
HOU,NL,1964,495,628,-133,66,0.285,0.315,0.229,0,,,162,,,,,,,,,,,,,,,
KCA,AL,1964,621,836,-215,57,0.311,0.379,0.239,0,,,163,,,,,,,,,,,,,,,
LAA,AL,1964,544,551,-7,82,0.304,0.344,0.242,0,,,162,,,,,,,,,,,,,,,
LAD,NL,1964,614,572,42,80,0.305,0.34,0.25,0,,,164,,,,,,,,,,,,,,,
MIN,AL,1964,737,678,59,79,0.322,0.427,0.252,0,,,163,,,,,,,,,,,,,,,
MLN,NL,1964,803,744,59,88,0.333,0.418,0.272,0,,,162,,,,,,,,,,,,,,,
NYM,NL,1964,569,776,-207,53,0.296,0.348,0.246,0,,,163,,,,,,,,,,,,,,,
NYY,AL,1964,730,577,153,99,0.317,0.387,0.253,1,1,2,164,,,,,,,,,,,,,,,
PHI,NL,1964,693,632,61,92,0.315,0.391,0.258,0,,,162,,,,,,,,,,,,,,,
PIT,NL,1964,663,636,27,80,0.315,0.389,0.264,0,,,162,,,,,,,,,,,,,,,
SFG,NL,1964,656,587,69,90,0.31,0.382,0.246,0,,,162,,,,,,,,,,,,,,,
STL,NL,1964,715,652,63,93,0.324,0.392,0.272,1,2,1,162,,,,,,,,,,,,,,,
WSA,AL,1964,578,733,-155,62,0.299,0.348,0.231,0,,,162,,,,,,,,,,,,,,,
BAL,AL,1963,644,621,23,86,0.31,0.38,0.249,0,,,162,,,,,,,,,,,,,,,
BOS,AL,1963,666,704,-38,76,0.312,0.4,0.252,0,,,161,,,,,,,,,,,,,,,
CHC,NL,1963,570,578,-8,82,0.297,0.363,0.238,0,,,162,,,,,,,,,,,,,,,
CHW,AL,1963,683,544,139,94,0.323,0.365,0.25,0,,,162,,,,,,,,,,,,,,,
CIN,NL,1963,648,594,54,86,0.31,0.371,0.246,0,,,162,,,,,,,,,,,,,,,
CLE,AL,1963,635,702,-67,79,0.301,0.381,0.239,0,,,162,,,,,,,,,,,,,,,
DET,AL,1963,700,703,-3,79,0.327,0.382,0.252,0,,,162,,,,,,,,,,,,,,,
HOU,NL,1963,464,640,-176,66,0.283,0.301,0.22,0,,,162,,,,,,,,,,,,,,,
KCA,AL,1963,615,704,-89,73,0.313,0.353,0.247,0,,,162,,,,,,,,,,,,,,,
LAA,AL,1963,597,660,-63,70,0.309,0.354,0.25,0,,,161,,,,,,,,,,,,,,,
LAD,NL,1963,640,550,90,99,0.309,0.357,0.251,1,2,1,163,,,,,,,,,,,,,,,
MIN,AL,1963,767,602,165,91,0.325,0.43,0.255,0,,,161,,,,,,,,,,,,,,,
MLN,NL,1963,677,603,74,84,0.312,0.37,0.244,0,,,163,,,,,,,,,,,,,,,
NYM,NL,1963,501,774,-273,51,0.285,0.315,0.219,0,,,162,,,,,,,,,,,,,,,
NYY,AL,1963,714,547,167,104,0.309,0.403,0.252,1,1,2,161,,,,,,,,,,,,,,,
PHI,NL,1963,642,578,64,87,0.306,0.381,0.252,0,,,162,,,,,,,,,,,,,,,
PIT,NL,1963,567,595,-28,74,0.309,0.359,0.25,0,,,162,,,,,,,,,,,,,,,
SFG,NL,1963,725,641,84,88,0.316,0.414,0.258,0,,,162,,,,,,,,,,,,,,,
STL,NL,1963,747,628,119,93,0.326,0.403,0.271,0,,,162,,,,,,,,,,,,,,,
WSA,AL,1963,578,812,-234,56,0.293,0.351,0.227,0,,,162,,,,,,,,,,,,,,,
BAL,AL,1962,652,680,-28,77,0.314,0.387,0.248,0,,,162,,,,,,,,,,,,,,,
BOS,AL,1962,707,756,-49,76,0.324,0.403,0.258,0,,,160,,,,,,,,,,,,,,,
CHC,NL,1962,632,827,-195,59,0.317,0.377,0.253,0,,,162,,,,,,,,,,,,,,,
CHW,AL,1962,707,658,49,85,0.334,0.372,0.257,0,,,162,,,,,,,,,,,,,,,
CIN,NL,1962,802,685,117,98,0.332,0.417,0.27,0,,,162,,,,,,,,,,,,,,,
CLE,AL,1962,682,745,-63,80,0.312,0.388,0.245,0,,,162,,,,,,,,,,,,,,,
DET,AL,1962,758,692,66,85,0.33,0.411,0.248,0,,,161,,,,,,,,,,,,,,,
HOU,NL,1962,592,717,-125,64,0.31,0.351,0.246,0,,,162,,,,,,,,,,,,,,,
KCA,AL,1962,745,837,-92,72,0.332,0.386,0.263,0,,,162,,,,,,,,,,,,,,,
LAA,AL,1962,718,706,12,86,0.325,0.38,0.25,0,,,162,,,,,,,,,,,,,,,
LAD,NL,1962,842,697,145,102,0.337,0.4,0.268,0,,,165,,,,,,,,,,,,,,,
MIN,AL,1962,798,713,85,91,0.338,0.412,0.26,0,,,163,,,,,,,,,,,,,,,
MLN,NL,1962,730,665,65,86,0.326,0.403,0.252,0,,,162,,,,,,,,,,,,,,,
NYM,NL,1962,617,948,-331,40,0.318,0.361,0.24,0,,,161,,,,,,,,,,,,,,,
NYY,AL,1962,817,680,137,96,0.337,0.426,0.267,1,2,1,162,,,,,,,,,,,,,,,
PHI,NL,1962,705,759,-54,81,0.33,0.39,0.26,0,,,161,,,,,,,,,,,,,,,
PIT,NL,1962,706,626,80,93,0.321,0.394,0.268,0,,,161,,,,,,,,,,,,,,,
SFG,NL,1962,878,690,188,103,0.341,0.441,0.278,1,1,2,165,,,,,,,,,,,,,,,
STL,NL,1962,774,664,110,84,0.335,0.394,0.271,0,,,163,,,,,,,,,,,,,,,
WSA,AL,1962,599,716,-117,60,0.308,0.373,0.25,0,,,162,,,,,,,,,,,,,,,
