"Rank","Name","Company","Compensation","Five.Year.Comp","Shares.Owned...mil.","Age","Efficiency"
245,"Frits D van Paasschen","Starwood Hotels & Resorts",7.11,"32.12",0.1,50,"NA"
246,"John P Bilbrey","Hershey",7.05,"NA",0.6,55,"NA"
247,"Brian Duperreault","Marsh & McLennan Cos",7.045,"17.593",8.6,64,"NA"
248,"Robert H Benmosche","American International Group",7.025,"NA",2.6,68,"NA"
249,"Gary W Loveman","Caesars Entertainment",6.97,"28.02",3.4,51,"NA"
250,"Howard Solomon","Forest Laboratories",6.97,"87.07",36.2,84,"178"
251,"Arne N Sorenson","Marriott International",6.965,"NA",12.6,53,"NA"
252,"Wendell P Weeks","Corning",6.93,"60",5.5,52,"201"
253,"James F Flaherty III","HCP",6.93,"37.05",15.3,54,"25"
254,"Peter J Rose","Expeditors International of Washington",6.81,"69.04",51.3,69,"88"
255,"Jeffrey C Sprecher","IntercontinentalExchange",6.765,"115.67",204.6,57,"44"
256,"David T Seaton","Fluor",6.75,"NA",9.6,50,"NA"
257,"George S Barrett","Cardinal Health",6.69,"15.373",14,57,"NA"
258,"David M Wood","Murphy Oil",6.645,"24.083",5.3,54,"NA"
259,"Marshall O Larsen","Goodrich",6.62,"54.65",20,63,"11"
260,"Daniel R Hesse","Sprint Nextel",6.605,"22.452",5.2,59,"NA"
261,"Michael J Long","Arrow Electronics",6.59,"11.993",16.1,52,"NA"
262,"Michael I Roth","Interpublic Group of Cos",6.595,"27.57",17.7,66,"140"
263,"Richard K Davis","US Bancorp",6.58,"21.74",14.7,54,"NA"
264,"Enrique T Salem","Symantec",6.56,"16.263",5.1,46,"NA"
265,"Brad D Smith","Intuit",6.55,"19.59",9,48,"NA"
266,"Richard T O'Brien","Newmont Mining",6.52,"22.31",15.7,57,"NA"
267,"David Simon","Simon Property Group",6.515,"23.3",89.8,50,"12"
268,"Jack B Moore","Cameron International",6.46,"27.7",17.6,58,"NA"
269,"Carl H Lindner III","American Financial Group",6.445,"25.4",273.8,58,"49"
270,"Jeffery R Gardner","Windstream",6.405,"24.28",17.8,52,"NA"
271,"W Edward Walter","Host Hotels & Resorts",6.395,"12.512",23.9,56,"NA"
272,"Donald R Knauss","Clorox",6.37,"21.8",7.3,60,"NA"
273,"John T Gremp","FMC Technologies",6.25,"NA",8.5,61,"NA"
274,"John J Koraleski","Union Pacific",6.225,"NA",55.3,61,"NA"
275,"Anthony J Alexander","FirstEnergy",6.165,"43.04",20.4,60,"163"
276,"John A Luke Jr","MeadWestvaco",6.14,"23.57",18.9,63,"91"
277,"Murray D Martin","Pitney Bowes",6.12,"24.03",2.9,64,"NA"
278,"James P Rogers","Eastman Chemical",6.12,"15.543",10,61,"NA"
279,"William M Brown","Harris",6.1,"NA",0,49,"NA"
280,"Raymond W McDaniel Jr","Moody's",6.09,"28.86",6.6,54,"177"
281,"Shantanu Narayen","Adobe Systems",6.09,"28.39",7.6,48,"NA"
282,"Benjamin G S Fowke III","Xcel Energy",6.066,"NA",5.1,54,"NA"
283,"Lothar Maier","Linear Technology",6.06,"17.53",10.7,56,"116"
284,"Thomas C Gallagher","Genuine Parts",6.05,"20.12",27.2,64,"58"
285,"John A Hayes","Ball",6.02,"NA",21.7,46,"NA"
286,"Douglas R Oberhelman","Caterpillar",6.005,"NA",13.4,59,"NA"
287,"Ajay S Banga","MasterCard",5.985,"NA",0,52,"NA"
288,"Denis J Salamone","Hudson City Bancorp",5.976,"NA",15.4,59,"NA"
289,"Kenneth C Frazier","Merck & Co",5.935,"NA",8.3,57,"NA"
290,"Robert B Pollock","Assurant",5.915,"26.67",11.6,57,"NA"
291,"David B Speer","Illinois Tool Works",5.87,"24.18",9.7,61,"133"
292,"Steve Sanghi","Microchip Technology",5.84,"48.52",172,56,"63"
293,"Michael F Koehler","Teradata",5.83,"20.34",10.6,59,"NA"
294,"Jay M Gellert","Health Net",5.795,"33.68",36.3,58,"175"
295,"Gerald L Hassell","Bank of New York Mellon",5.776,"NA",21.6,60,"NA"
296,"Richard M Bracken","HCA Holdings",5.76,"42.643",16.9,59,"NA"
297,"W Craig Jelinek","Costco Wholesale",5.756,"NA",14.7,60,"NA"
298,"Michael D White","DirecTV",5.74,"NA",7.6,59,"NA"
299,"Stephen R Wilson","CF Industries Holdings",5.705,"49.07",25.4,63,"8"
300,"Francis S Blake","Home Depot",5.675,"19.81",31.3,62,"NA"
301,"Neil A Berkett","Virgin Media",5.675,"13.072",9,56,"NA"
302,"Jay L Johnson","General Dynamics",5.6,"14.613",20.9,65,"NA"
303,"Mark S McAndrew","Torchmark",5.6,"16.13",7.2,61,"61"
304,"Harold G Hamm","Continental Resources",5.495,"18.15",10771.5,66,"NA"
305,"Gerard M Anderson","DTE Energy",5.4,"NA",10.7,54,"NA"
306,"John P Wiehoff","CH Robinson Worldwide",5.38,"42.5",66.8,50,"37"
307,"Robert A Niblock","Lowe's Cos",5.355,"29.36",29.6,49,"174"
308,"Michael J Williams","Fannie Mae",5.3,"16.083",0.1,53,"NA"
309,"Ralph Izzo","Public Service Enterprise Group",5.27,"19.27",11.4,54,"NA"
310,"Kevin Mansell","Kohl's",5.27,"16.542",18.9,59,"NA"
311,"Robert Greifeld","Nasdaq OMX Group",5.255,"33.78",17.8,54,"141"
312,"David P Steiner","Waste Management",5.195,"25.01",17,51,"73"
313,"Douglas L Foshee","El Paso",5.195,"23.78",40.4,52,"19"
314,"David C Dvorak","Zimmer Holdings",5.11,"13.97",6.1,48,"NA"
315,"William D Johnson","Progress Energy",5.105,"18.462",17.6,58,"NA"
316,"Gregory L Henslee","O'Reilly Automotive",5.08,"20.88",3.9,51,"10"
317,"Robert A McDonald","Procter & Gamble",5.07,"17.393",12.9,58,"NA"
318,"Dennis R Glass","Lincoln National",5.045,"27.782",13.2,62,"NA"
319,"Ilene S Gordon","Corn Products International",5.025,"NA",10,58,"NA"
320,"Jeffrey M Ettinger","Hormel Foods",5.02,"23.68",7,53,"56"
321,"John A Bryant","Kellogg",4.97,"NA",8.1,46,"NA"
322,"Gregg L Engles","Dean Foods",4.95,"47.73",33.4,54,"203"
323,"Duncan L Niederauer","NYSE Euronext",4.915,"13.103",8.2,52,"NA"
324,"Robert G Wilmers","M&T Bank",4.86,"23.88",413.2,78,"NA"
325,"Mary A Wilderotter","Frontier Communications",4.855,"15.54",13,57,"125"
326,"Ralph W Babb Jr","Comerica",4.82,"22.35",17.7,63,"137"
327,"Robert J Hugin","Celgene",4.815,"NA",48,57,"NA"
328,"Lee K Boothby","Newfield Exploration",4.79,"12.403",2.4,50,"NA"
329,"Mark T Bertolini","Aetna",4.765,"NA",16.1,56,"NA"
330,"Klaus Kleinfeld","Alcoa",4.75,"18.722",2.1,54,"NA"
331,"Larry D Zimpleman","Principal Financial Group",4.72,"10.822",3.9,60,"NA"
332,"Liam E McGee","Hartford Financial Services",4.715,"NA",0,57,"NA"
333,"Mark G Papa","EOG Resources",4.695,"132.49",137.8,65,"102"
334,"N Thomas Linebarger","Cummins",4.656,"NA",16.7,49,"NA"
335,"Donald J Stebbins","Visteon",4.655,"11.233",16.2,54,"NA"
336,"Gary M Rodkin","ConAgra Foods",4.64,"31.07",16.4,60,"NA"
337,"John P Surma","US Steel",4.63,"33.9",6.4,57,"195"
338,"Martin H Richenhagen","AGCO",4.625,"24.78",20.9,60,"32"
339,"Thomas J Folliard","CarMax",4.61,"20.96",16.2,47,"NA"
340,"Hamid R Moghadam","Prologis",4.59,"11.2",131.3,55,"130"
341,"Matthew J Simoncini","Lear",4.585,"NA",0,51,"NA"
342,"A Greig Woodring","Reinsurance Group of America",4.445,"19.21",8.5,60,"72"
343,"W Benjamin Moreland","Crown Castle International",4.435,"21.433",42.6,48,"NA"
344,"J Paul Raines","GameStop",4.405,"NA",12.7,48,"NA"
345,"Martin S Craighead","Baker Hughes",4.396,"NA",5.6,52,"NA"
346,"Jeffery A Smisek","United Continental Holdings",4.365,"NA",5.5,58,"NA"
347,"Michael S Dell","Dell",4.355,"11.43",4762.5,47,"NA"
348,"Robert M Dutkowsky","Tech Data",4.345,"17.14",7.6,57,"NA"
349,"Donnie Smith","Tyson Foods",4.3,"10.213",4.2,53,"NA"
350,"Gregory D Wasson","Walgreen",4.3,"10.922",10,53,"NA"
351,"Clarence Otis Jr","Darden Restaurants",4.29,"23.11",12.9,56,"78"
352,"Kelly S King","BB&T",4.28,"11.362",7.5,63,"NA"
353,"Stephen D Steinour","Huntington Bancshares",4.28,"9.113",11.1,53,"NA"
354,"Pierre R Brondeau","FMC",4.27,"NA",11.9,55,"NA"
355,"Mark A Blinn","Flowserve",4.27,"14.373",12.7,50,"NA"
356,"Charles W Shivery","Northeast Utilities",4.26,"29.87",23.2,66,"43"
357,"Michael W Laphen","Computer Sciences",4.26,"23.67",5.2,61,"NA"
358,"Alan D Wilson","McCormick & Co",4.22,"22.542",7.7,54,"NA"
359,"Vincent A Forlenza","Becton, Dickinson",4.206,"NA",6.1,59,"NA"
360,"Michael J Kowalski","Tiffany & Co",4.185,"41.65",24.1,59,"52"
361,"Thomas J Wilson","Allstate",4.14,"23.5",7.7,54,"NA"
362,"Glenn K Murphy","Gap",4.145,"17.782",3.8,50,"NA"
363,"Tunc Doluca","Maxim Integrated Products",4.12,"10.61",31.5,55,"NA"
364,"Matthew J Shattock","Beam",4.09,"NA",1.7,50,"NA"
365,"Stanley M Bergman","Henry Schein",4.07,"17.55",71.2,62,"70"
366,"Kevin T Kabat","Fifth Third Bancorp",4.07,"18.78",5.6,55,"NA"
367,"William Dillard II","Dillard's",4.055,"12.09",52.2,67,"41"
368,"Steven Freiberg","E-Trade Financial",4.04,"NA",1.7,55,"NA"
369,"David B Dillon","Kroger",4.045,"23.66",22.1,61,"118"
370,"Ursula M Burns","Xerox",4.025,"NA",3.5,53,"NA"
371,"Richard W Dreiling","Dollar General",3.975,"23.383",14.4,59,"NA"
372,"Peter Swinburn","Molson Coors Brewing",3.935,"12.603",5.3,59,"NA"
373,"Joseph M Rigby","Pepco Holdings",3.91,"7.732",3.3,55,"NA"
374,"Theodore F Craver Jr","Edison International",3.9,"11.532",9.4,60,"NA"
375,"Omar Ishrak","Medtronic",3.89,"NA",19.7,56,"NA"
376,"Charles E Haldeman Jr","Freddie Mac",3.87,"11.203",0,64,"NA"
377,"Craig S Donohue","CME Group",3.83,"35.13",19.1,50,"126"
378,"James S Tisch","Loews",3.805,"18.89",266.7,59,"69"
379,"Inge G Thulin","3M",3.746,"NA",5.2,58,"NA"
380,"Joseph R Ficalora","New York Community Bancorp",3.685,"12.96",60.8,65,"21"
381,"Steven L Mueller","Southwestern Energy",3.655,"NA",4.9,58,"NA"
382,"Andrï¿½s R Gluski","AES",3.656,"NA",1.3,54,"NA"
383,"Douglas M Baker Jr","Ecolab",3.6,"28.14",13.2,53,"129"
384,"David L Porges","EQT",3.56,"NA",24.3,54,"NA"
385,"Hikmet Ersek","Western Union",3.54,"NA",5.3,52,"NA"
386,"John D Johns","Protective Life",3.535,"18.75",11.9,59,"162"
387,"Rick P Hamada","Avnet",3.536,"NA",5,54,"NA"
388,"Donald W Slager","Republic Services",3.515,"NA",8.3,50,"NA"
389,"Ronald L Nelson","Avis Budget Group",3.505,"22.35",5.8,59,"NA"
390,"Donald E Brandt","Pinnacle West Capital",3.495,"NA",1.8,56,"NA"
391,"John P Barnes","People's United Financial",3.48,"NA",4.6,56,"NA"
392,"Marc N Casper","Thermo Fisher Scientific",3.445,"NA",16.1,44,"NA"
393,"Christopher M Crane","Exelon",3.426,"NA",2.7,53,"NA"
394,"O B Grayson Hall","Regions Financial",3.405,"NA",5.1,54,"NA"
395,"Keith E Wandell","Harley-Davidson",3.405,"NA",11.3,62,"NA"
396,"Ronald B Johnson","JC Penney",3.38,"NA",32.7,53,"NA"
397,"John T Chambers","Cisco Systems",3.36,"102.37",66.3,62,"170"
398,"Albert L Lord","SLM",3.345,"53.012",10,66,"NA"
399,"Paul C Reilly","Raymond James Financial",3.31,"NA",9.7,57,"NA"
400,"Daniel R DiMicco","Nucor",3.29,"18.65",22.7,61,"70"
401,"Willard D Oberton","Fastenal",3.26,"10.01",31,53,"9"
402,"Murray S Kessler","Lorillard",3.2,"NA",13.8,53,"NA"
403,"George A Scangos","Biogen Idec",3.205,"NA",8,64,"NA"
404,"Stephen W Golsby","Mead Johnson Nutrition",3.195,"8.843",10.9,57,"NA"
405,"Harold W McGraw III","McGraw-Hill Cos",3.19,"22.39",356.9,63,"145"
406,"William E McCracken","CA",3.18,"NA",2.1,69,"NA"
407,"Steven H Collis","AmerisourceBergen",3.186,"NA",2.4,51,"NA"
408,"William H Spence","PPL",3.185,"NA",0.4,55,"NA"
409,"Christopher M Connor","Sherwin-Williams",3.16,"64.68",61.8,56,"35"
410,"Daniel M Delen","Reynolds American",3.11,"NA",4.5,46,"NA"
411,"Daniel J Starks","St Jude Medical",3.09,"66.44",270,58,"198"
412,"R Adam Norwitt","Amphenol",3.075,"5.512",0.1,43,"NA"
413,"Heather Bresch","Mylan",3.065,"NA",2.8,42,"NA"
414,"Denise M Morrison","Campbell Soup",3.026,"NA",11.7,58,"NA"
415,"D Mark Durcan","Micron Technology",2.986,"NA",13.1,51,"NA"
416,"Carlos A Rodriguez","Automatic Data Processing",2.976,"NA",4.7,48,"NA"
417,"Gregory T Lucier","Life Technologies",2.93,"74.85",17.7,47,"157"
418,"Douglas A Berthiaume","Waters",2.935,"34.96",251.6,63,"29"
419,"Robert A Livingston","Dover",2.92,"10.912",5.8,59,"NA"
420,"Fredric J Tomczyk","TD Ameritrade Holding",2.91,"13.782",19.8,56,"NA"
421,"Jay Grinney","HealthSouth",2.905,"13.78",17.3,61,"165"
422,"Charles B Edelstein","Apollo Group",2.85,"9.932",2.7,52,"NA"
423,"William H Rogers Jr","SunTrust Banks",2.83,"NA",4.3,54,"NA"
424,"Thomas A Fanning","Southern Co",2.815,"NA",0.5,55,"NA"
425,"Phil Rykhoek","Denbury Resources",2.815,"NA",12.9,54,"NA"
426,"Nicholas K Akins","American Electric Power",2.816,"NA",0,52,"NA"
427,"Margaret C Whitman","Hewlett-Packard",2.77,"NA",0,55,"NA"
428,"Anthony F Earley","PG&E",2.75,"NA",5.1,63,"NA"
428,"John P Jumper","SAIC",2.75,"NA",0.4,67,"NA"
430,"Michael D Fraizer","Genworth Financial",2.725,"51.07",7.1,53,"206"
431,"Steven A Kandarian","MetLife",2.695,"NA",0.7,60,"NA"
432,"Bryan G Stockton","Mattel",2.655,"NA",3.5,59,"NA"
433,"Robert W Pittman","CC Media Holdings",2.65,"NA",4.4,58,"NA"
434,"Rakesh Sachdev","Sigma-Aldrich",2.6,"NA",1.2,56,"NA"
435,"Rory P Read","Advanced Micro Devices",2.56,"NA",0,50,"NA"
436,"W Matt Ralls","Rowan Cos",2.525,"NA",6,61,"NA"
437,"James J O'Brien","Ashland",2.51,"25.24",8.6,57,"135"
438,"David W Crane","NRG Energy",2.5,"23.2",5.1,53,"173"
439,"Thomas R Voss","Ameren",2.48,"6.992",1.6,64,"NA"
440,"Debra L Reed","Sempra Energy",2.445,"NA",4.7,56,"NA"
441,"Neal L Patterson","Cerner",2.395,"10.03",965.6,62,"4"
442,"Stanley A Lybarger","BOK Financial",2.33,"18",12,62,"24"
443,"Craig L Martin","Jacobs Engineering Group",2.32,"40.19",18.2,61,"NA"
444,"David H Hannah","Reliance Steel & Aluminum",2.325,"15.9",16,60,"45"
445,"Jeffery W Yabuki","Fiserv",2.305,"12.35",12.9,52,"NA"
446,"Gary C Kelly","Southwest Airlines",2.29,"7.59",1.4,57,"175"
447,"Brian T Moynihan","Bank of America",2.265,"NA",4.3,52,"NA"
448,"Kevin B Marsh","Scana",2.245,"NA",1.4,56,"NA"
449,"Jack A Fusco","Calpine",2.245,"6.513",8.5,49,"NA"
450,"John G Russell","CMS Energy",2.195,"NA",13.9,54,"NA"
451,"Robert C Skaggs Jr","NiSource",2.185,"6.22",22.5,57,"NA"
452,"Brian J Dunn","Best Buy",2.14,"8.123",4.8,52,"NA"
453,"Alain Monie","Ingram Micro",2.13,"NA",0.2,61,"NA"
454,"Edward J Bonach","CNO Financial",2.076,"NA",3.2,58,"NA"
455,"Luther C Kissam IV","Albemarle",2.075,"NA",8.7,48,"NA"
456,"John R Koelmel","First Niagara Financial Group",2.07,"9.2",2.9,58,"NA"
457,"Craig Herkert","Supervalu",2.02,"NA",1.9,52,"NA"
458,"William J DeLaney","Sysco",2.01,"5.163",3,56,"NA"
459,"Louis J D'Ambrosio","Sears Holdings",2,"NA",8.4,48,"NA"
460,"Thomas M Rutledge","Charter Communications",2,"NA",0,59,"NA"
460,"Scott Thompson","Yahoo",2,"NA",13.5,54,"NA"
462,"Daniel S Fulton","Weyerhaeuser",1.93,"7.01",4.3,63,"NA"
463,"Brian P MacDonald","Sunoco",1.896,"NA",0.9,46,"NA"
464,"W Douglas Parker","US Airways Group",1.825,"21.14",4.5,50,"188"
465,"Marc R Benioff","Salesforce.com",1.805,"3.15",1516.1,47,"2"
466,"Moshe Gavrielov","Xilinx",1.77,"4.312",2.1,57,"NA"
467,"Denise L Ramos","ITT",1.735,"NA",5.5,55,"NA"
468,"Daniel F Akerson","General Motors",1.7,"NA",6.5,63,"NA"
469,"Beth E Mooney","KeyCorp",1.695,"NA",3.4,56,"NA"
470,"Jeffrey P Bezos","Amazon.com",1.685,"7.31",16036.5,48,"1"
471,"Marcel H M Smits","Sara Lee",1.67,"NA",0.6,50,"NA"
472,"Paul Maritz","VMware",1.645,"4.153",4.6,57,"NA"
473,"Richard L Carrion","Popular",1.61,"5.9",5.1,59,"182"
474,"Ian M Cumming","Leucadia National",1.605,"6.19",579,71,"79"
475,"Alan S Armstrong","Williams Cos",1.485,"NA",5.9,50,"NA"
476,"William H Kucheman","Boston Scientific",1.466,"NA",1,62,"NA"
477,"Martin Mucci","Paychex",1.45,"NA",2.1,52,"NA"
478,"Steven J Johnston","Cincinnati Financial",1.44,"NA",1.1,52,"NA"
479,"Steven A Ballmer","Microsoft",1.38,"6.64",10920.7,56,"152"
480,"Thomas Peterffy","Interactive Brokers Group",1.35,"6.55",0,67,"NA"
481,"John T Standley","Rite Aid",1.32,"NA",5.1,58,"NA"
482,"Thomas W Horton","AMR",1.256,"NA",0.5,51,"NA"
483,"Curt R Hartman","Stryker",1.236,"NA",1.2,48,"NA"
484,"Thomas M Marra","Symetra Financial",1.19,"NA",2.8,53,"NA"
485,"Harris H Simmons","Zions Bancorporation",1.175,"8.33",59.2,57,"160"
486,"Wendy C Waugaman","American Equity Investment Life Holding",0.915,"NA",1.7,51,"NA"
487,"Joseph P Clayton","DISH Network",0.9,"NA",0.2,62,"NA"
488,"Gary S Guthart","Intuitive Surgical",0.86,"8.283",20.1,46,"NA"
489,"Michael C Jennings","HollyFrontier",0.78,"NA",18.9,46,"NA"
490,"John P Mackey","Whole Foods Market",0.76,"2.68",94.2,58,"41"
491,"Joseph W Brown","MBIA",0.7,"27.54",42.6,63,"NA"
492,"Rodney C Sacks","Monster Beverage",0.685,"65.81",24.6,62,"12"
493,"Jeffry E Sterba","American Water Works",0.68,"NA",2.2,57,"NA"
494,"John A Thain","CIT Group",0.5,"NA",12.4,57,"NA"
495,"Warren E Buffett","Berkshire Hathaway",0.49,"1.9",44486.8,81,"33"
496,"Andrew D Mason","Groupon",0.185,"NA",775.4,32,"NA"
497,"Richard D Fairbank","Capital One Financial",0.16,"92.81",121.7,61,"186"
498,"Malon Wilkus","American Capital Agency",0,"NA",0,60,"NA"
498,"Matthew J Lambiase","Chimera Investment",0,"NA",1.6,45,"NA"
498,"Larry Page","Google",0,"0.003",16252.9,39,"NA"
