"Date","Weight","Month","Year","Day of Week","Day of Year","Days since July 19, 2014"
7/20/2014,175.8,7,2014,"Su",201,1
7/21/2014,174.8,7,2014,"M",202,2
7/22/2014,173,7,2014,"T",203,3
7/23/2014,172.4,7,2014,"W",204,4
7/24/2014,173,7,2014,"Th",205,5
7/25/2014,173.6,7,2014,"F",206,6
7/26/2014,173,7,2014,"Sa",207,7
7/27/2014,172.8,7,2014,"Su",208,8
8/8/2014,174.8,8,2014,"F",220,20
8/9/2014,172.4,8,2014,"Sa",221,21
8/10/2014,174,8,2014,"Su",222,22
8/11/2014,172.2,8,2014,"M",223,23
8/12/2014,174,8,2014,"T",224,24
8/13/2014,173.6,8,2014,"W",225,25
8/14/2014,173,8,2014,"Th",226,26
8/15/2014,,8,2014,"F",227,27
8/16/2014,174,8,2014,"Sa",228,28
8/17/2014,174,8,2014,"Su",229,29
8/18/2014,173.8,8,2014,"M",230,30
8/19/2014,173.4,8,2014,"T",231,31
8/20/2014,173.6,8,2014,"W",232,32
8/21/2014,172.2,8,2014,"Th",233,33
8/22/2014,171.8,8,2014,"F",234,34
8/23/2014,174,8,2014,"Sa",235,35
8/24/2014,175.8,8,2014,"Su",236,36
8/25/2014,174.4,8,2014,"M",237,37
8/26/2014,174.6,8,2014,"T",238,38
8/27/2014,174.8,8,2014,"W",239,39
8/28/2014,173,8,2014,"Th",240,40
8/29/2014,172.2,8,2014,"F",241,41
8/30/2014,174.8,8,2014,"Sa",242,42
8/31/2014,171.6,8,2014,"Su",243,43
9/1/2014,172.4,9,2014,"M",244,44
9/2/2014,173,9,2014,"T",245,45
9/3/2014,173,9,2014,"W",246,46
9/4/2014,173.6,9,2014,"Th",247,47
9/5/2014,174,9,2014,"F",248,48
9/6/2014,175.8,9,2014,"Sa",249,49
9/7/2014,174.4,9,2014,"Su",250,50
9/8/2014,173.2,9,2014,"M",251,51
9/9/2014,172.4,9,2014,"T",252,52
9/10/2014,172.6,9,2014,"W",253,53
9/11/2014,172,9,2014,"Th",254,54
9/12/2014,172.4,9,2014,"F",255,55
9/13/2014,172,9,2014,"Sa",256,56
9/14/2014,173.4,9,2014,"Su",257,57
9/15/2014,172.6,9,2014,"M",258,58
9/16/2014,171.8,9,2014,"T",259,59
9/17/2014,171.6,9,2014,"W",260,60
9/18/2014,172.2,9,2014,"Th",261,61
9/19/2014,172.4,9,2014,"F",262,62
9/20/2014,174.2,9,2014,"Sa",263,63
9/21/2014,173.4,9,2014,"Su",264,64
9/22/2014,172,9,2014,"M",265,65
9/23/2014,171.6,9,2014,"T",266,66
9/24/2014,173,9,2014,"W",267,67
9/25/2014,172.6,9,2014,"Th",268,68
9/26/2014,171.8,9,2014,"F",269,69
9/27/2014,,9,2014,"Sa",270,70
9/28/2014,,9,2014,"Su",271,71
9/29/2014,174.8,9,2014,"M",272,72
9/30/2014,172,9,2014,"T",273,73
10/1/2014,,10,2014,"W",274,74
10/2/2014,172.6,10,2014,"Th",275,75
10/3/2014,172.4,10,2014,"F",276,76
10/4/2014,171.6,10,2014,"Sa",277,77
10/5/2014,171.4,10,2014,"Su",278,78
10/6/2014,171,10,2014,"M",279,79
10/7/2014,171.4,10,2014,"T",280,80
10/8/2014,171.4,10,2014,"W",281,81
10/9/2014,169.8,10,2014,"Th",282,82
10/17/2014,173.6,10,2014,"F",290,90
10/18/2014,172.6,10,2014,"Sa",291,91
10/19/2014,171.6,10,2014,"Su",292,92
10/20/2014,171.6,10,2014,"M",293,93
10/21/2014,172.8,10,2014,"T",294,94
10/22/2014,171.8,10,2014,"W",295,95
10/23/2014,172,10,2014,"Th",296,96
10/31/2014,174.8,10,2014,"F",304,104
11/1/2014,174,11,2014,"Sa",305,105
11/2/2014,174,11,2014,"Su",306,106
11/3/2014,174,11,2014,"M",307,107
11/4/2014,173.6,11,2014,"T",308,108
11/5/2014,172.6,11,2014,"W",309,109
11/6/2014,173.6,11,2014,"Th",310,110
11/7/2014,174,11,2014,"F",311,111
11/8/2014,174.2,11,2014,"Sa",312,112
11/9/2014,175.2,11,2014,"Su",313,113
11/10/2014,171.8,11,2014,"M",314,114
11/11/2014,171,11,2014,"T",315,115
11/12/2014,172.2,11,2014,"W",316,116
11/13/2014,170.6,11,2014,"Th",317,117
11/14/2014,,11,2014,"F",318,118
11/15/2014,,11,2014,"Sa",319,119
11/16/2014,173.6,11,2014,"Su",320,120
11/17/2014,171.6,11,2014,"M",321,121
11/18/2014,,11,2014,"T",322,122
11/19/2014,,11,2014,"W",323,123
11/20/2014,,11,2014,"Th",324,124
11/21/2014,174,11,2014,"F",325,125
11/22/2014,,11,2014,"Sa",326,126
11/23/2014,,11,2014,"Su",327,127
11/24/2014,,11,2014,"M",328,128
11/25/2014,,11,2014,"T",329,129
11/26/2014,,11,2014,"W",330,130
11/27/2014,,11,2014,"Th",331,131
11/28/2014,,11,2014,"F",332,132
11/29/2014,,11,2014,"Sa",333,133
11/30/2014,,11,2014,"Su",334,134
12/1/2014,,12,2014,"M",335,135
12/2/2014,,12,2014,"T",336,136
12/3/2014,,12,2014,"W",337,137
12/4/2014,,12,2014,"Th",338,138
12/5/2014,,12,2014,"F",339,139
12/6/2014,176,12,2014,"Sa",340,140
12/7/2014,,12,2014,"Su",341,141
12/8/2014,177.8,12,2014,"M",342,142
12/9/2014,175.6,12,2014,"T",343,143
12/10/2014,,12,2014,"W",344,144
12/13/2014,174.8,12,2014,"Sa",347,147
12/14/2014,176,12,2014,"Su",348,148
12/15/2014,176.8,12,2014,"M",349,149
12/16/2014,176.2,12,2014,"T",350,150
12/17/2014,174.8,12,2014,"W",351,151
12/18/2014,175.6,12,2014,"Th",352,152
12/19/2014,176,12,2014,"F",353,153
12/20/2014,177.8,12,2014,"Sa",354,154
12/21/2014,176.4,12,2014,"Su",355,155
12/22/2014,176.2,12,2014,"M",356,156
12/23/2014,,12,2014,"T",357,157
12/24/2014,180,12,2014,"W",358,158
12/25/2014,179.8,12,2014,"Th",359,159
12/26/2014,177.8,12,2014,"F",360,160
12/27/2014,177.6,12,2014,"Sa",361,161
12/28/2014,178,12,2014,"Su",362,162
12/29/2014,177.8,12,2014,"M",363,163
12/30/2014,177,12,2014,"T",364,164
12/31/2014,176,12,2014,"W",365,165
1/1/2015,177.2,1,2015,"Th",1,166
1/2/2015,176.6,1,2015,"F",2,167
1/3/2015,176.8,1,2015,"Sa",3,168
1/4/2015,177.8,1,2015,"Su",4,169
1/5/2015,177.2,1,2015,"M",5,170
1/6/2015,175.8,1,2015,"T",6,171
1/7/2015,,1,2015,"W",7,172
1/8/2015,,1,2015,"Th",8,173
1/9/2015,176.6,1,2015,"F",9,174
1/10/2015,175,1,2015,"Sa",10,175
1/11/2015,175.8,1,2015,"Su",11,176
1/12/2015,176.6,1,2015,"M",12,177
1/13/2015,177.6,1,2015,"T",13,178
1/14/2015,175.2,1,2015,"W",14,179
1/15/2015,176.2,1,2015,"Th",15,180
1/16/2015,,1,2015,"F",16,181
1/17/2015,,1,2015,"Sa",17,182
1/18/2015,176,1,2015,"Su",18,183
1/19/2015,175.2,1,2015,"M",19,184
1/20/2015,173.2,1,2015,"T",20,185
1/21/2015,175.2,1,2015,"W",21,186
1/22/2015,,1,2015,"Th",22,187
1/23/2015,,1,2015,"F",23,188
1/24/2015,175.6,1,2015,"Sa",24,189
1/25/2015,176.2,1,2015,"Su",25,190
1/26/2015,175.4,1,2015,"M",26,191
1/27/2015,175.6,1,2015,"T",27,192
1/28/2015,175,1,2015,"W",28,193
1/29/2015,175.2,1,2015,"Th",29,194
1/30/2015,,1,2015,"F",30,195
1/31/2015,,1,2015,"Sa",31,196
2/1/2015,176.4,2,2015,"Su",32,197
2/2/2015,176.6,2,2015,"M",33,198
2/3/2015,175.4,2,2015,"T",34,199
2/4/2015,176.4,2,2015,"W",35,200
2/5/2015,176,2,2015,"Th",36,201
2/6/2015,176.2,2,2015,"F",37,202
2/7/2015,176,2,2015,"Sa",38,203
2/8/2015,177.8,2,2015,"Su",39,204
2/9/2015,176,2,2015,"M",40,205
2/10/2015,176.2,2,2015,"T",41,206
2/11/2015,176.2,2,2015,"W",42,207
2/12/2015,174.6,2,2015,"Th",43,208
2/13/2015,176.6,2,2015,"F",44,209
2/14/2015,175.2,2,2015,"Sa",45,210
2/15/2015,176.2,2,2015,"Su",46,211
2/16/2015,176.4,2,2015,"M",47,212
2/17/2015,,2,2015,"T",48,213
2/18/2015,,2,2015,"W",49,214
2/19/2015,,2,2015,"Th",50,215
2/20/2015,,2,2015,"F",51,216
2/21/2015,173.8,2,2015,"Sa",52,217
2/22/2015,175.2,2,2015,"Su",53,218
2/23/2015,175,2,2015,"M",54,219
2/24/2015,174.6,2,2015,"T",55,220
2/25/2015,176.8,2,2015,"W",56,221
2/26/2015,175.2,2,2015,"Th",57,222
2/27/2015,174,2,2015,"F",58,223
2/28/2015,175,2,2015,"Sa",59,224
3/1/2015,174,3,2015,"Su",60,225
3/2/2015,173.4,3,2015,"M",61,226
3/3/2015,173.2,3,2015,"T",62,227
3/4/2015,172.6,3,2015,"W",63,228
3/5/2015,174.2,3,2015,"Th",64,229
3/6/2015,173,3,2015,"F",65,230
3/7/2015,,3,2015,"Sa",66,231
3/8/2015,,3,2015,"Su",67,232
3/9/2015,174.2,3,2015,"M",68,233
3/10/2015,173,3,2015,"T",69,234
3/11/2015,174.2,3,2015,"W",70,235
3/12/2015,174,3,2015,"Th",71,236
3/13/2015,173.2,3,2015,"F",72,237
3/14/2015,172.6,3,2015,"Sa",73,238
3/15/2015,172.6,3,2015,"Su",74,239
3/16/2015,172,3,2015,"M",75,240
3/17/2015,171.8,3,2015,"T",76,241
3/18/2015,170.4,3,2015,"W",77,242
3/19/2015,171.4,3,2015,"Th",78,243
3/20/2015,172,3,2015,"F",79,244
4/1/2015,172.4,4,2015,"W",91,256
4/2/2015,171.4,4,2015,"Th",92,257
4/3/2015,172,4,2015,"F",93,258
4/4/2015,174,4,2015,"Sa",94,259
4/5/2015,173,4,2015,"Su",95,260
4/6/2015,173.2,4,2015,"M",96,261
4/7/2015,173.4,4,2015,"T",97,262
4/13/2015,173.2,4,2015,"M",103,268
,,,,,,
4/18/2015,172.4,4,2015,"Sa",108,273
4/19/2015,173,4,2015,"Su",109,274
4/20/2015,173.4,4,2015,"M",110,275
4/21/2015,173.6,4,2015,"T",111,276
4/22/2015,173.2,4,2015,"W",112,277
4/23/2015,173.4,4,2015,"Th",113,278
4/24/2015,174,4,2015,"F",114,279
4/25/2015,173.6,4,2015,"Sa",115,280
,,,,,,
,,,,,,
,,,,,,
4/29/2015,173.6,4,2015,"W",119,284
4/30/2015,173,4,2015,"Th",120,285
5/1/2015,173,5,2015,"F",121,286
5/2/2015,173.6,5,2015,"Sa",122,287
5/3/2015,174,5,2015,"Su",123,288
5/4/2015,172,5,2015,"M",124,289
5/5/2015,170.8,5,2015,"T",125,290
5/6/2015,169.4,5,2015,"W",126,291
5/7/2015,168,5,2015,"Th",127,292
5/8/2015,167,5,2015,"F",128,293
5/9/2015,168,5,2015,"Sa",129,294
5/10/2015,169.2,5,2015,"Su",130,295
5/11/2015,167.8,5,2015,"M",131,296
5/12/2015,167.6,5,2015,"T",132,297
5/13/2015,167.6,5,2015,"W",133,298
5/14/2015,168,5,2015,"Th",134,299
5/15/2015,167.2,5,2015,"F",135,300
5/16/2015,169,5,2015,"Sa",136,301
5/17/2015,168.4,5,2015,"Su",137,302
5/18/2015,167.4,5,2015,"M",138,303
5/19/2015,167.8,5,2015,"T",139,304
5/20/2015,167.2,5,2015,"W",140,305
5/21/2015,,5,2015,"Th",141,306
5/22/2015,170,5,2015,"F",142,307
5/23/2015,169.2,5,2015,"Sa",143,308
5/24/2015,168,5,2015,"Su",144,309
5/25/2015,168,5,2015,"M",145,310
5/26/2015,167.6,5,2015,"T",146,311
5/27/2015,167.8,5,2015,"W",147,312
5/28/2015,,5,2015,"Th",148,313
5/29/2015,,5,2015,"F",149,314
5/30/2015,,5,2015,"Sa",150,315
5/31/2015,,5,2015,"Su",151,316
6/1/2015,,6,2015,"M",152,317
6/2/2015,,6,2015,"T",153,318
6/3/2015,172,6,2015,"W",154,319
6/4/2015,169.2,6,2015,"Th",155,320
6/5/2015,169.2,6,2015,"F",156,321
6/6/2015,170.2,6,2015,"Sa",157,322
6/7/2015,168.6,6,2015,"Su",158,323
6/8/2015,169.4,6,2015,"M",159,324
6/9/2015,168.2,6,2015,"T",160,325
6/10/2015,168.6,6,2015,"W",161,326
6/11/2015,168,6,2015,"Th",162,327
6/13/2015,169.6,6,2015,"Sa",164,329
6/14/2015,169.6,6,2015,"Su",165,330
6/15/2015,169.4,6,2015,"M",166,331
6/16/2015,,6,2015,"T",167,332
6/17/2015,,6,2015,"W",168,333
6/18/2015,169,6,2015,"Th",169,334
6/19/2015,167.8,6,2015,"F",170,335
6/20/2015,169.2,6,2015,"Sa",171,336
6/21/2015,171,6,2015,"Su",172,337
6/22/2015,169.4,6,2015,"M",173,338
6/23/2015,169,6,2015,"T",174,339
6/24/2015,168.2,6,2015,"W",175,340
6/26/2015,169.6,6,2015,"F",177,342
6/27/2015,170.4,6,2015,"Sa",178,343
6/28/2015,170.6,6,2015,"Su",179,344
6/29/2015,170,6,2015,"M",180,345
6/30/2015,169,6,2015,"T",181,346
7/1/2015,167.6,7,2015,"W",182,347
7/12/2015,170.8,7,2015,"Su",193,358
7/13/2015,169.6,7,2015,"M",194,359
7/14/2015,168.8,7,2015,"T",195,360
7/31/2015,167.8,7,2015,"F",212,377
8/1/2015,167.2,8,2015,"Sa",213,378
8/2/2015,166.4,8,2015,"Su",214,379
8/3/2015,167.4,8,2015,"M",215,380
8/4/2015,166.2,8,2015,"T",216,381
8/14/2015,170.6,8,2015,"F",226,391
8/15/2015,170.2,8,2015,"Sa",227,392
8/16/2015,168.4,8,2015,"Su",228,393
8/17/2015,168.8,8,2015,"M",229,394
8/18/2015,167.4,8,2015,"T",230,395
8/19/2015,167.8,8,2015,"W",231,396
