"Year","Focal_Depth","Primary_Magnitude","Country","Latitude","Longitude","Deaths","Missing","Injuriez","Damage($M)"
-426,,7.1,"GREECE",38.9,22.7,,,,
-373,,7.3,"GREECE",38.25,22.25,,,,
79,,,"ITALY",40.821,14.426,,,,
142,,7,"GREECE",36.7,28,,,,
173,,,"CHINA",37.5,120,,,,
365,70,8,"GREECE",35,23,5000,,,
478,,,"TURKEY",40.8,29.2,,,,
543,,6.8,"TURKEY",40.3,27.8,,,,
551,,7.1,"GREECE",38.4,22.3,,,,
551,,7.8,"TURKEY",40.8,29.9,,,,
552,,7.2,"GREECE",38.4,22.4,,,,
554,,7,"GREECE",36.5,27.5,,,,
557,,7,"TURKEY",40.9,27.6,,,,
558,,7,"GREECE",37.1,27.7,,,,
684,,8.4,"JAPAN",32.5,134,,,,
701,,7,"JAPAN",35.7,135.4,,,,
704,,7,"JAPAN",33.8,136.7,,,,
744,,6.4,"JAPAN",32.4,130.5,1520,,,
745,,6.5,"JAPAN",34.6,135.3,,,,
818,,7.9,"JAPAN",35.2,139.3,,,,
850,,7,"JAPAN",39,139.9,,,,
863,,7,"JAPAN",37.1,138,,,,
869,,8.6,"JAPAN",38.5,143.8,1000,,,
887,,6.5,"JAPAN",37.5,138.1,2000,,,
887,,8.6,"JAPAN",33,135.3,,,,
922,,7,"JAPAN",33.8,136.7,,,,
963,,,"ITALY",38,15,,,,
986,,7.5,"TURKEY",40.8,29.2,,,,
1026,,7.5,"JAPAN",34.8,131.8,1001,,,
1033,,,"SYRIA",33,35,,,,
1065,,,"TURKEY",,,,,,
1068,,,"ISRAEL",29.5,34.95,,,,
1088,,,"JAPAN",39.64,141.96,,,,
1088,,7,"JAPAN",40.5,143,,,,
1096,,8.4,"JAPAN",34,137.5,,,,
1099,,8.4,"JAPAN",33,135.5,,,,
1169,,7,"ITALY",37.3,15.03,,,,
1172,,,"ITALY",38,15,,,,
1202,,7.6,"SYRIA",33.5,36,,,,
1222,,6.6,"CYPRUS ISLAND",34.5,33,,,,
1241,,7,"JAPAN",35.2,139.4,,,,
1257,,7.5,"JAPAN",39,144,,,,
1257,,7,"JAPAN",35.2,139.5,,,,
1265,,6.6,"TURKEY",40.7,27.4,,,,
1270,,,"GREECE",41.3,19.5,,,,
1303,,8,"GREECE",34,26,,,,
1331,,7,"JAPAN",33.7,135.2,,,,
1341,,7,"JAPAN",41,139.5,2600,,,
1343,,7,"TURKEY",41,28.1,,,,
1344,,6.9,"TURKEY",40.8,28.8,,,,
1360,,7,"JAPAN",33.4,136.2,,,,
1361,,8.4,"JAPAN",33,135,660,,,
1365,,,"ALGERIA",36.8,3,,,,
1403,,7,"JAPAN",33.7,136.5,,,,
1408,,7,"JAPAN",33.8,136.9,,,,
1419,,,"TURKEY",,,,,,
1433,,7.1,"JAPAN",34.9,139.5,,,,
1448,,7,"JAPAN",37.5,138.2,,,,
1494,,7.2,"GREECE",35.5,25.5,,,,
1495,,7.1,"JAPAN",35.1,139.5,200,,,
1498,,8.3,"JAPAN",34,138.1,,,,
1498,,7.5,"JAPAN",33.5,135.2,,,,
1509,,,"CHINA",31.5,121.5,,,,
1509,,7.7,"TURKEY",40.8,28.1,,,,
1510,,6.7,"JAPAN",34.6,135.4,,,,
1520,,7,"JAPAN",33.6,136.3,,,,
1530,,,"VENEZUELA",10.7,-64.1,,,,
1531,,7.7,"PORTUGAL",38.7,-9.1,,,,
1542,,6.6,"ITALY",37.07,15.3,,,,
1546,,6.5,"ISRAEL",32,35.5,,,,
1562,,,"ITALY",40.5,15.5,,,,
1562,,8,"CHILE",-38.7,-73.5,,,,
1564,,5.8,"FRANCE",44.017,7.283,,,,
1570,,8.3,"CHILE",-36.75,-73,2000,,,
1571,,,"TURKEY",,,,,,
1575,,8.5,"CHILE",-39.8,-73.2,1300,,,
1580,33,6.2,"UK",51.019,1.309,,,,
1586,,8.2,"JAPAN",35,136.8,,,,
1586,60,8.5,"PERU",-12.3,-77.7,,,,
1589,,6.7,"JAPAN",34.8,138.2,,,,
1596,,6.9,"JAPAN",33.3,131.7,708,,,
1597,,6.4,"JAPAN",33.3,131.6,40,,,
1602,,7.2,"JAPAN",35.1,140.5,,,,
1604,30,8.5,"PERU",-17.88,-70.94,74,,,
1605,,7.9,"JAPAN",33,134.9,5000,,,
1605,,7.9,"JAPAN",33.5,138.5,1001,,,
1608,,7.6,"IRAN",36.4,50.5,,,,
1611,,8.1,"JAPAN",39,144.5,5000,,,
1612,,6.7,"GREECE",35.5,25.5,,,,
1614,,7.7,"JAPAN",37.5,138,,,,
1615,,5.7,"UKRAINE",44.9,35.5,,,,
1616,,7,"JAPAN",38.1,142,,,,
1619,,6.4,"JAPAN",32.5,130.6,,,,
1627,,6.7,"ITALY",41.733,15.35,,,,
1627,,8,"PHILIPPINES",18.4,121.6,,,,
1629,70,7,"GREECE",36,25,,,,
1629,,,"INDONESIA",-4.6,129.9,,,,
1631,,,"ITALY",40.821,14.426,,,,
1633,,7.1,"JAPAN",35.2,139.2,,,,
1633,,,"CHILE",-41.8,-73.8,,,,
1633,,6.9,"GREECE",37.6,21,,,,
1640,,,"CHINA",23,117,,,,
1642,,6.7,"JAPAN",35.2,140.6,,,,
1643,,6.5,"SOUTH KOREA",35.5,129.5,,,,
1644,,6.9,"JAPAN",39.4,140.1,117,,,
1646,,5.2,"ITALY",43.55,10.317,,,,
1649,,6.5,"SOUTH KOREA",35.5,126,,,,
1657,,8,"CHILE",-36.83,-73.03,40,,,
1661,,,"ITALY",,,,,,
1662,,7.6,"JAPAN",31.7,132,200,,,
1666,,6.4,"JAPAN",35,136.8,,,,
1667,,6.7,"JAPAN",25,125.5,,,,
1668,,6.6,"TURKEY",38.4,27.1,,,,
1668,,8.5,"CHINA",35.3,118.6,,,,
1670,,6.8,"CHINA",33,122.5,,,,
1670,,6.4,"JAPAN",35.5,141,,,,
1672,,6.8,"GREECE",,,,,,
1672,,5.6,"ITALY",43.933,12.583,,,,
1674,40,6.8,"INDONESIA",-3.75,127.75,2244,6,,
1674,,6,"INDONESIA",-3.7,128.2,,,,
1677,,8.1,"JAPAN",40,144,,,,
1677,,7.4,"JAPAN",35,141.5,500,,,
1678,40,8.4,"PERU",-9,-79,,,,
1680,,,"SPAIN",36.5,-3.6,,,,
1682,,,"ITALY",,,,,,
1687,30,8.5,"PERU",-13.5,-76.5,5000,,,
1690,,8,"ANTIGUA AND BARBUDA",17.5,-61.5,,,,
1692,,7.7,"JAMAICA",17.8,-76.7,2000,,,
1693,,7.4,"ITALY",37.133,15.017,,,,
1698,,6.4,"JAPAN",33.3,131.7,,,,
1700,,9,"USA",45,-125,2,,,
1700,,6.5,"SOUTH KOREA",36.5,126.5,,,,
1703,,8.2,"JAPAN",34.7,139.8,5233,,,
1707,,,"ITALY",,,,,,
1707,,8.4,"JAPAN",34.1,137.8,2000,,,
1707,,8.4,"JAPAN",33.2,134.8,5000,,,
1708,,7,"JAPAN",34,137,,,,
1708,,,"INDONESIA",-3.69,128.15,,,,
1710,,,"INDONESIA",-4.53,129.9,,,,
1711,,7,"INDONESIA",-4,129,2,,,
1711,,6.7,"JAPAN",34.3,134,,,,
1715,80,7.5,"PERU",-17.3,-70.8,,,,
1715,,6.6,"JAPAN",33.3,131.7,,,,
1726,,6.6,"JAPAN",36.3,136,,,,
1726,,5.8,"ITALY",38.117,13.35,,,,
1730,,8.7,"CHILE",-32.5,-71.5,3,,,
1732,,,"MEXICO",16.8,-99.9,,,,
1732,,6.5,"JAPAN",35.2,140.8,,,,
1737,,,"RUSSIA",51.1,158,3,,,
1741,,7.3,"GREECE",36.2,28.5,,,,
1742,,,"ITALY",43.5,10.2,,,,
1742,,7,"RUSSIA",51.5,157,,,,
1746,30,8,"PERU",-11.996,-77.198,4800,,,
1748,,6.8,"GREECE",38.3,22.1,,,,
1751,,6.6,"JAPAN",37.2,138.1,2100,,,
1751,,8.5,"CHILE",-37,-73,65,,,
1754,,6.5,"INDONESIA",-3.5,128.5,,,,
1754,,,"MEXICO",16.8,-99.2,,,,
1755,,8.5,"PORTUGAL",37,-10,50000,,,
1761,,8.5,"PORTUGAL",34.5,-13,,,,
1762,,,"BANGLADESH",22,92,,,,
1762,,6.6,"JAPAN",38.1,138.7,,,,
1763,,7.4,"JAPAN",40.8,142,,,,
1763,,7.8,"JAPAN",41,142.5,,,,
1763,,7.1,"JAPAN",40.7,142,,,,
1763,,,"INDONESIA",-6,130,7,,,
1766,,6.9,"JAPAN",40.9,140.7,1700,,,
1767,,,"MARTINIQUE (FRENCH TERRITORY)",14.4,-61,,,,
1768,,7.5,"PAPUA NEW GUINEA",-4.85,152.8,,,,
1768,,6.5,"JAPAN",26.2,127.5,,,,
1769,,7.4,"JAPAN",32.3,132,,,,
1769,,6.5,"GREECE",38.4,12.2,,,,
1770,,,"HAITI",18.5,-72.3,,,,
1770,,7,"INDONESIA",-5,102,,,,
1771,,7.4,"JAPAN",24,124.3,13486,,,
1772,,,"GREECE",38.8,26.7,,,,
1775,,,"CUBA",19.9,-76,,,,
1775,,,"INDONESIA",-3.7,128.2,,,,
1778,,,"GREECE",,,,,,
1780,,7.5,"RUSSIA",45.3,151.2,12,,,
1782,,7.3,"JAPAN",35.1,139.7,,,,
1783,13,6.9,"ITALY",38.3,15.967,,,,
1783,6,5.9,"ITALY",38.217,15.633,1500,,,
1783,,5.9,"ITALY",38.767,16.3,,,,
1783,18,6.9,"ITALY",38.783,16.467,,,,
1784,,4.1,"ITALY",38.317,16.4,,,,
1787,,8.3,"MEXICO",16.5,-98.5,11,,,
1788,,8,"USA",57,-153,,,,
1788,,8,"USA",55,-161,,,,
1790,,,"ALGERIA",35.7,-0.6,,,,
1791,,6.5,"JAPAN",34.5,135.4,,,,
1792,,6.9,"JAPAN",43.5,140.6,,,,
1793,,6.9,"JAPAN",40.85,139.95,12,,,
1793,33,8.3,"JAPAN",38.5,144,720,,,
1794,,5.5,"GREECE",38.3,22.3,,,,
1795,,,"TRINIDAD AND TOBAGO",10.7,-61.7,,,,
1797,,8,"INDONESIA",0.001,99,300,,,
1799,,6.4,"JAPAN",36.6,136.6,,,,
1802,,,"VENEZUELA",10.3,-64.5,,,,
1802,,,"ALGERIA",36.5,2.9,,,,
1802,,6.6,"JAPAN",37.7,138.3,,,,
1804,,,"SPAIN",36.833,-2.833,,,,
1804,,6.7,"GREECE",38.3,21.8,,,,
1804,,7.3,"JAPAN",39.05,139.95,,,,
1805,,6.6,"ITALY",41.5,14.467,,,,
1806,,7.5,"PERU",-12.1,-77.1,,,,
1808,,6.5,"JAPAN",33.9,134.8,,,,
1810,,6.6,"JAPAN",39.9,139.9,,,,
1812,,7.5,"USA",34.2,-119.9,,,,
1815,150,7,"INDONESIA",-8,115,1200,,,
1817,,6.8,"GREECE",38.3,22.1,,,,
1818,,6,"ITALY",37.6,15.133,,,,
1818,,7,"INDONESIA",-4,101.5,,,,
1819,,8.5,"CHILE",-27,-71.5,,,,
1819,,7.7,"INDIA",23,71,,,,
1819,,5.8,"NORWAY",66.416,12.85,,,,
1820,,7.6,"MEXICO",17.2,-99.6,,,,
1820,80,7.5,"INDONESIA",-7,119,500,,,
1821,,6.5,"GREECE",37.8,21.3,,,,
1822,,8.5,"CHILE",-33,-72,,,,
1823,,,"MARTINIQUE (FRENCH TERRITORY)",14.4,-61,,,,
1826,,,"JAPAN",27.07,142.21,,,,
1826,,,"NEW ZEALAND",-45.78,166.48,,,,
1827,,,"RUSSIA",53,158.5,,,,
1828,,6.4,"JAPAN",32.6,129.9,,,,
1831,,,"NEW ZEALAND",-38.7,178,,,,
1833,,,"MEXICO",16.8,-99.9,,,,
1833,75,8.3,"INDONESIA",-2.5,100.5,,,,
1833,,7.4,"JAPAN",38.9,139.15,50,,,
1834,,6.4,"JAPAN",43.3,141.4,,,,
1835,,8.2,"CHILE",-36.83,-73.03,3,,,
1835,,7.6,"JAPAN",37.9,141.9,,,,
1836,,,"ITALY",39.6,16.6,,,,
1837,,,"ISRAEL",33,35.5,,,,
1837,,8.5,"CHILE",-42.5,-74,16,,,
1841,30,8.4,"RUSSIA",52,158,,,,
1841,,,"INDONESIA",-5,130,,,,
1841,,6,"INDONESIA",-4,127.5,,,,
1842,,8.1,"HAITI",19.75,-72.2,300,,,
1843,70,7.3,"INDONESIA",1.5,98,,,,
1843,33,8.3,"GUADELOUPE (FRENCH TERRITORY)",16.5,-62.2,,,,
1843,,8.4,"JAPAN",42,146,45,,,
1845,,7,"INDONESIA",1.5,124.85,,,,
1845,,8,"MEXICO",17,-100.6,,,,
1845,,6.3,"INDIA",23.583,68.367,,,,
1846,,7.3,"INDONESIA",2,126.5,,,,
1846,,6.9,"JAPAN",39.5,142.5,,,,
1846,5,6.1,"ITALY",43.4,10.6,,,,
1846,,,"ITALY",43.5,10.5,,,,
1846,,,"ITALY",,,,,,
1846,,,"ITALY",,,,,,
1846,,,"ITALY",,,,,,
1846,,,"ITALY",,,,,,
1846,,,"ITALY",,,,,,
1846,,,"ITALY",,,,,,
1846,,,"ITALY",,,,,,
1846,,,"ITALY",,,,,,
1847,,,"ITALY",,,,,,
1847,,,"ITALY",,,,,,
1847,,,"ITALY",,,,,,
1847,,,"INDIA",7.333,93.667,,,,
1849,,7.5,"USA TERRITORY",14,143.3,,1,,
1849,,,"RUSSIA",55,166,,,,
1849,,6.5,"CHILE",-29.95,-71.37,,,,
1851,,7.2,"TURKEY",35.5,28.7,,,,
1851,,,"TURKEY",,,,,,
1852,150,6.5,"INDONESIA",-6.5,105.5,,,,
1852,,,"TURKEY",,,,,,
1852,100,8.3,"INDONESIA",-5.25,129.75,60,,,
1852,,7,"MEXICO",32.5,-115.5,,,,
1853,,6.7,"VENEZUELA",10.5,-64.2,113,,,
1853,,,"GREECE",38.25,23.5,,,,
1854,,,"USA",57,-152,,,,
1854,,,"INDONESIA",0.8,127.4,,,,
1854,,8.3,"JAPAN",34,137.9,300,,,
1854,,8.4,"JAPAN",33.1,135,3000,,,
1855,,8,"NEW ZEALAND",-41.25,175,,,,
1855,,,"NEW ZEALAND",-41.93,174.09,,,,
1855,,6,"USA",34.1,-118.1,,,,
1855,,7,"JAPAN",34.5,137.6,,,,
1855,,7,"JAPAN",35.65,139.8,,,,
1856,,5.5,"USA",37.5,-122.3,,,,
1856,,7.5,"HONDURAS",16,-88,,,,
1856,,,"ALGERIA",37.1,5.7,,,,
1856,,,"ALGERIA",37.1,5.7,,,,
1856,,8,"JAPAN",40.5,143.5,26,,,
1856,,6.6,"GREECE",38.5,26.25,,,,
1857,,8,"PAPUA NEW GUINEA",-5.5,147,,,,
1857,50,7,"INDONESIA",-8,115.5,,,,
1857,,6.4,"JAPAN",34.8,138.3,,,,
1857,,,"INDONESIA",1.35,125.2,,,,
1859,,7,"INDONESIA",1,126.5,,,,
1859,,,"INDONESIA",-4.6,129.9,,,,
1859,,7.3,"INDONESIA",0.009,125.5,,,,
1859,,6.8,"TURKEY",40,26,,,,
1859,,7.6,"CHILE",-27.35,-70.35,,,,
1859,,7,"EL SALVADOR",13.7,-89.8,,,,
1860,,7.5,"HAITI",18.52,-73.35,,,,
1860,,,"PERU",-12.1,-77.1,,,,
1860,,,"INDONESIA",-1.25,128.5,,,,
1861,70,8.5,"INDONESIA",-1,97.5,1105,,,
1861,20,7,"INDONESIA",0.009,98,950,,,
1861,70,7,"INDONESIA",1,97.5,,,,
1861,,6.8,"INDONESIA",1,97.5,,,,
1861,,6.5,"INDONESIA",-1.5,100,,,,
1861,,7.4,"JAPAN",38.5,142,,,,
1861,,7.3,"GREECE",38.2,22.2,,,,
1862,,,"GREECE",38.25,22.25,,,,
1862,,5.9,"USA",32.7,-117.2,,,,
1863,,6.4,"JAPAN",44.6,141.5,,,,
1864,,7.8,"INDONESIA",-1,135,250,,,
1864,,,"CANADA",46.5,-53.7,,,,
1865,,,"PERU",-12,-77.1,5,,,
1865,,6.3,"USA",37.2,-121.9,,,,
1865,,8,"TONGA",-19.5,-173.5,,,,
1866,,6,"GREECE",36,23,,,,
1866,,6.3,"ALBANIA",40.4,19.5,,,,
1866,,6,"GREECE",36.404,25.396,,,,
1867,,7.4,"GREECE",38.39,20.52,,,,
1867,,,"NORWAY",58.667,6.167,,,,
1867,,7.1,"GREECE",36.4,22.2,,,,
1867,33,7.5,"USA TERRITORY",18.1,-65.1,24,,,
1867,,7,"TAIWAN",25.34,121.91,80,,,
1868,,,"USA TERRITORY",18.1,-65.1,,,,
1868,,7.9,"USA",19,-155.5,47,,,
1868,,,"ITALY",45.7,10.7,,,,
1868,,,"MEXICO",16.8,-99.9,,,,
1868,25,8.5,"CHILE",-18.6,-71,25000,,,
1868,,8.5,"CHILE",-18.6,-71,,,,
1868,12,7.6,"NEW ZEALAND",-40.2,173,,,,
1868,,6.8,"USA",37.7,-122.1,,,,
1869,,,"CHILE",-30,-71.4,,,,
1869,,7.5,"CHILE",-19.6,-70.23,,,,
1870,,7.9,"MEXICO",15.4,-96.3,,,,
1870,,,"EGYPT",32.2,29.6,,,,
1870,,,"CROATIA",,,,,,
1870,,,"ITALY",39.28,16.28,,,,
1872,,6,"PHILIPPINES",16,119,,,,
1872,33,7.4,"JAPAN",34.9,132,,,,
1872,,,"USA",52.2,-168.5,,,,
1872,,,"ICELAND",,,,,,
1872,,,"JAPAN",27.07,142.21,,,,
1873,,6.7,"USA",42,-124,,,,
1873,,8,"PAPUA NEW GUINEA",-5.5,146,,,,
1875,,,"ITALY",44.2,12.4,,,,
1875,,8,"NEW CALEDONIA",-20,168.5,25,,,
1876,50,6.8,"INDONESIA",-3,127.25,,,,
1877,,8.3,"CHILE",-21.5,-70.5,2282,,,
1877,,,"CHILE",-20.2,-70.1,,,,
1878,,7.5,"VANUATU",-19,168.5,,,,
1878,,,"USA",,,,,,
1878,,,"PAPUA NEW GUINEA",-4.25,152.25,,,,
1878,,8,"VANUATU",-19,168.5,,,,
1879,,5.9,"EGYPT",29,33,,,,
1880,100,7.5,"PHILIPPINES",16,121.85,,,,
1880,12,7,"NEW ZEALAND",-38.85,178.85,,,,
1880,,6.3,"USA",55.8,-155.6,,,,
1880,,6.3,"USA",57,-136,,,,
1881,,6.5,"GREECE",38.2,26.2,,,,
1881,,,"NEW ZEALAND",-43.69,172.9,,,,
1881,,,"CHILE",-20.2,-70.1,,,,
1881,,7.9,"INDIA",8.52,92.43,,,,
1882,,,"SRI LANKA",8.567,81.233,,,,
1882,40,7.9,"PANAMA",10,-79,100,,,
1882,,7.5,"INDONESIA",-4.5,129.9,,,,
1884,,6.2,"ERITREA",15.7,39.6,,,,
1885,,7.3,"INDONESIA",-2.5,127.5,,,,
1885,,,"CHILE",-20.2,-70.1,,,,
1886,,7.5,"GREECE",37.1,21.5,,,,
1886,,7.7,"USA",32.9,-80,,,,
1887,,,"ITALY",43.7,8.1,,,,
1887,,,"HAITI",19.7,-74.4,,,,
1888,,6.1,"GREECE",38.2,22.1,,,,
1889,,6.8,"PHILIPPINES",13.5,121,,,,
1889,70,8,"INDONESIA",1,126.25,,,,
1890,10,7.2,"IRAN",36.6,54.6,,,,
1891,,,"ALGERIA",36.5,1.8,,,,
1891,,7,"INDONESIA",-9,124,,,,
1891,,,"USA",48,-123.5,,,,
1892,,7.5,"USA TERRITORY",14,143.3,,,,
1892,,,"INDONESIA",2.5,99.5,,,,
1892,70,7,"INDONESIA",-3,127.75,,,,
1892,,6.5,"JAPAN",37,136.8,,,,
1893,,6.5,"GREECE",40.5,25.5,,,,
1893,,6.4,"GREECE",37.7,20.9,,,,
1893,,7,"RUSSIA",43.3,147.5,,,,
1893,,6.9,"JAPAN",42.5,145.5,,,,
1894,,7.9,"JAPAN",42.5,146,,,,
1894,,7,"GREECE",38.7,23.1,,,,
1894,,6.7,"TURKEY",40.6,28.7,,,,
1894,,7,"JAPAN",38.9,139.8,,,,
1895,,7.3,"PAPUA NEW GUINEA",-8.4,150.1,,,,
1895,12,6,"NEW ZEALAND",-38.8,176,,,,
1895,,4.3,"USA",40.667,-74.883,,1,,
1896,,7.6,"JAPAN",36.5,141,,,,
1896,,8.3,"JAPAN",39.5,144,27122,9247,,
1896,,,"GREECE",,,,,,
1896,,,"ICELAND",,,,,,
1897,33,7.4,"JAPAN",38.1,141.9,,,,
1897,,7.7,"JAPAN",38,143.7,,,,
1897,33,8.7,"PHILIPPINES",6,122,13,14,,
1897,33,8.1,"PHILIPPINES",12,126,,,,
1898,,7.2,"JAPAN",38.6,142,,,,
1898,,7,"GREECE",37.6,22.5,,,,
1899,,,"PAPUA NEW GUINEA",-3,152,,,,
1899,,8.2,"USA",60,-142,,,,
1899,25,8.2,"USA",60,-140,,,,
